time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,acc_leg_l1_joint,cmd_torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,acc_leg_l2_joint,cmd_torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,acc_leg_l3_joint,cmd_torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,acc_leg_l4_joint,cmd_torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,acc_leg_l5_joint,cmd_torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,acc_leg_l6_joint,cmd_torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,acc_leg_r1_joint,cmd_torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,acc_leg_r2_joint,cmd_torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,acc_leg_r3_joint,cmd_torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,acc_leg_r4_joint,cmd_torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,acc_leg_r5_joint,cmd_torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint,acc_leg_r6_joint,cmd_torque_leg_r6_joint
0.000000000,0.000000000,-0.000261887,0.003888551,0.005932820,0.000000000,0.005925326,0.000000000,-0.010542657,0.037917442,2.136528176,0.000000000,2.139042875,-0.006823000,-0.008615775,-0.013258600,0.804567738,0.000000000,0.809483699,0.424885005,0.335519341,0.388500627,2.877476244,0.000000000,2.883319830,-0.396259993,-0.378071737,-0.410745082,-0.670408644,0.000000000,-0.670447939,0.000000000,0.000043403,0.000241381,-0.005101716,0.000000000,-0.005072775,0.000000000,0.000007508,0.000089240,-0.001458170,0.000000000,-0.001304940,0.000000000,0.000978683,-0.003586903,-0.196864157,0.000000000,-0.197053659,0.065402001,0.054613725,0.029724151,2.388218902,0.000000000,2.394183070,0.276596010,0.224183193,0.224907764,1.707460025,0.000000000,1.712011275,-0.291951001,-0.276871018,-0.307999594,-0.648367625,0.000000000,-0.648415665,0.000000000,0.000005052,-0.000041042,-0.000393590,0.000000000,-0.000393853
0.001999820,-0.000031000,-0.000254110,0.003895648,0.005925326,0.000000000,0.001751902,0.000016000,-0.010466837,0.037909971,2.139042875,0.000000000,2.122208357,-0.006821000,-0.008642259,-0.013241939,0.809483699,0.000000000,0.817203220,0.424870014,0.336296415,0.388536655,2.883319830,0.000000000,2.833033028,-0.396315992,-0.378893225,-0.410744323,-0.670447939,0.000000000,-0.593085844,0.000000000,0.000043884,0.000240729,-0.005072775,0.000000000,-0.005119575,-0.000017000,0.000007524,0.000068982,-0.001304940,0.000000000,-0.003004111,-0.000004000,0.000971508,-0.003587996,-0.197053659,0.000000000,-0.196126427,0.065428004,0.054673212,0.029743689,2.394183070,0.000000000,2.384223310,0.276553988,0.224633069,0.224937994,1.712011275,0.000000000,1.680725715,-0.291940987,-0.277487012,-0.307997024,-0.648415665,0.000000000,-0.585155509,0.000004000,0.000004975,-0.000041699,-0.000393853,0.000000000,0.000020051
0.003999639,-0.000061000,-0.000246543,0.003790477,0.001751902,0.000000000,-0.001657765,0.000031000,-0.010391097,0.037870143,2.122208357,0.000000000,2.105844088,-0.006816000,-0.008667899,-0.012820107,0.817203220,0.000000000,0.816371031,0.424854010,0.337070356,0.386970482,2.833033028,0.000000000,2.794268526,-0.396375000,-0.379702122,-0.404448074,-0.593085844,0.000000000,-0.535198695,0.000000000,0.000044663,0.000389183,-0.005119575,0.000000000,-0.005620283,-0.000034000,0.000007573,0.000183994,-0.003004111,0.000000000,-0.005471846,-0.000010000,0.000964415,-0.003547102,-0.196126427,0.000000000,-0.196740580,0.065458000,0.054733964,0.030376427,2.384223310,0.000000000,2.361169022,0.276510000,0.225078604,0.222767486,1.680725715,0.000000000,1.665232949,-0.291929990,-0.278089422,-0.301205214,-0.585155509,0.000000000,-0.542470597,0.000007000,0.000005026,0.000028021,0.000020051,0.000000000,0.000119873
0.005999459,-0.000091000,-0.000239346,0.003605021,-0.001657765,0.000000000,-0.004573900,0.000045000,-0.010315526,0.037785376,2.105844088,0.000000000,2.090260258,-0.006810000,-0.008692156,-0.012128679,0.816371031,0.000000000,0.809332100,0.424836993,0.337838830,0.384237036,2.794268526,0.000000000,2.764082304,-0.396436006,-0.380489082,-0.393479993,-0.535198695,0.000000000,-0.493012346,0.000000000,0.000045790,0.000563529,-0.005620283,0.000000000,-0.006229837,-0.000051000,0.000007709,0.000323063,-0.005471846,0.000000000,-0.008084804,-0.000016000,0.000957354,-0.003530878,-0.196740580,0.000000000,-0.196805960,0.065490000,0.054796479,0.031257370,2.361169022,0.000000000,2.332569466,0.276464999,0.225517611,0.219503791,1.665232949,0.000000000,1.657858861,-0.291918993,-0.278669667,-0.290122301,-0.542470597,0.000000000,-0.514225480,0.000010000,0.000005242,0.000117229,0.000119873,0.000000000,0.000147585
0.007999279,-0.000120000,-0.000232646,0.003356194,-0.004573900,0.000000000,-0.006972071,0.000057000,-0.010240189,0.037668501,2.090260258,0.000000000,2.074900645,-0.006802000,-0.008714629,-0.011236327,0.809332100,0.000000000,0.797809647,0.424820006,0.338600091,0.380630618,2.764082304,0.000000000,2.740558655,-0.396499991,-0.381247236,-0.379077200,-0.493012346,0.000000000,-0.463803318,0.000000000,0.000047262,0.000736354,-0.006229837,0.000000000,-0.006869999,-0.000069000,0.000007976,0.000432591,-0.008084804,0.000000000,-0.010651294,-0.000024000,0.000950283,-0.003535921,-0.196805960,0.000000000,-0.196955933,0.065523997,0.054860918,0.032220017,2.332569466,0.000000000,2.302142176,0.276419014,0.225949046,0.215717138,1.657858861,0.000000000,1.654618202,-0.291909009,-0.279222292,-0.276312446,-0.514225480,0.000000000,-0.496626852,0.000013000,0.000005636,0.000211046,0.000147585,0.000000000,0.000144265
0.009999099,-0.000148000,-0.000226541,0.003058678,-0.006972071,0.000000000,-0.008924945,0.000069000,-0.010165140,0.037524717,2.074900645,0.000000000,2.060231403,-0.006792000,-0.008735034,-0.010202763,0.797809647,0.000000000,0.783074064,0.424802989,0.339352876,0.376392711,2.740558655,0.000000000,2.722057122,-0.396566004,-0.381971774,-0.362269131,-0.463803318,0.000000000,-0.445034715,0.000000000,0.000049045,0.000891746,-0.006869999,0.000000000,-0.007492005,-0.000088000,0.000008376,0.000484796,-0.010651294,0.000000000,-0.013014448,-0.000033000,0.000943181,-0.003551274,-0.196955933,0.000000000,-0.197148268,0.065560997,0.054927272,0.033176921,2.302142176,0.000000000,2.272154205,0.276371002,0.226372517,0.211735830,1.654618202,0.000000000,1.653136099,-0.291898012,-0.279744004,-0.260856021,-0.496626852,0.000000000,-0.486731221,0.000015000,0.000006216,0.000307130,0.000144265,0.000000000,0.000014607
0.011998918,-0.000176000,-0.000221104,0.002724229,-0.008924945,0.000000000,-0.010597749,0.000079000,-0.010090424,0.037357616,2.060231403,0.000000000,2.045616073,-0.006781000,-0.008753184,-0.009075090,0.783074064,0.000000000,0.765852926,0.424784988,0.340096301,0.371712621,2.722057122,0.000000000,2.707227738,-0.396634012,-0.382659540,-0.343882893,-0.445034715,0.000000000,-0.434671061,0.000000000,0.000051087,0.001021000,-0.007492005,0.000000000,-0.008065827,-0.000106000,0.000008852,0.000469561,-0.013014448,0.000000000,-0.014897645,-0.000043000,0.000936042,-0.003569955,-0.197148268,0.000000000,-0.197538985,0.065600999,0.054995437,0.034082527,2.272154205,0.000000000,2.243665200,0.276322007,0.226788012,0.207747341,1.653136099,0.000000000,1.652146791,-0.291887999,-0.280233018,-0.244507272,-0.486731221,0.000000000,-0.482776435,0.000017000,0.000006948,0.000383002,0.000014607,0.000000000,-0.000072921
0.013998738,-0.000202000,-0.000216393,0.002360747,-0.010597749,0.000000000,-0.011815821,0.000089000,-0.010016086,0.037169324,2.045616073,0.000000000,2.031587122,-0.006769000,-0.008768962,-0.007888889,0.765852926,0.000000000,0.746917917,0.424766988,0.340829774,0.366736081,2.707227738,0.000000000,2.695134208,-0.396703988,-0.383308700,-0.324579962,-0.434671061,0.000000000,-0.431014056,0.000000000,0.000053338,0.001125665,-0.008065827,0.000000000,-0.008590898,-0.000125000,0.000009303,0.000389413,-0.014897645,0.000000000,-0.016517731,-0.000055000,0.000928862,-0.003590801,-0.197538985,0.000000000,-0.198437389,0.065641999,0.055065260,0.034911488,2.243665200,0.000000000,2.216722329,0.276271999,0.227195745,0.203866349,1.652146791,0.000000000,1.650819671,-0.291877002,-0.280688692,-0.227836537,-0.482776435,0.000000000,-0.483007319,0.000018000,0.000007811,0.000447463,-0.000072921,0.000000000,-0.000242373
0.015998558,-0.000228000,-0.000212450,0.001976022,-0.011815821,0.000000000,-0.012831898,0.000097000,-0.009942162,0.036961969,2.031587122,0.000000000,2.017538738,-0.006755000,-0.008782305,-0.006671538,0.746917917,0.000000000,0.727154796,0.424748003,0.341552925,0.361575940,2.695134208,0.000000000,2.684935470,-0.396777004,-0.383918473,-0.304886439,-0.431014056,0.000000000,-0.432755377,0.000000000,0.000055750,0.001206083,-0.008590898,0.000000000,-0.009063290,-0.000145000,0.000009613,0.000246259,-0.016517731,0.000000000,-0.017873152,-0.000067000,0.000921633,-0.003614900,-0.198437389,0.000000000,-0.199248546,0.065686002,0.055136566,0.035652936,2.216722329,0.000000000,2.192190852,0.276219994,0.227596049,0.200152346,1.650819671,0.000000000,1.648648656,-0.291866988,-0.281111161,-0.211234918,-0.483007319,0.000000000,-0.486496782,0.000019000,0.000008758,0.000487076,-0.000242373,0.000000000,-0.000349639
0.017998378,-0.000252000,-0.000209309,0.001574064,-0.012831898,0.000000000,-0.013451829,0.000104000,-0.009868689,0.036736539,2.017538738,0.000000000,2.003743094,-0.006740000,-0.008793188,-0.005441816,0.727154796,0.000000000,0.706696948,0.424728990,0.342265556,0.356315176,2.684935470,0.000000000,2.676114677,-0.396851003,-0.384488916,-0.285221592,-0.432755377,0.000000000,-0.438489424,0.000000000,0.000058286,0.001267924,-0.009063290,0.000000000,-0.009495366,-0.000164000,0.000009682,0.000047201,-0.017873152,0.000000000,-0.018780026,-0.000080000,0.000914350,-0.003642044,-0.199248546,0.000000000,-0.200259645,0.065732002,0.055209185,0.036309739,2.192190852,0.000000000,2.169768160,0.276167989,0.227989293,0.196621865,1.648648656,0.000000000,1.645619176,-0.291855991,-0.281501140,-0.194989127,-0.486496782,0.000000000,-0.492158996,0.000020000,0.000009760,0.000512224,-0.000349639,0.000000000,-0.000421306
0.019998197,-0.000276000,-0.000206995,0.001159666,-0.013451829,0.000000000,-0.013913283,0.000111000,-0.009795700,0.036494180,2.003743094,0.000000000,1.990468160,-0.006724000,-0.008801617,-0.004214144,0.706696948,0.000000000,0.685871855,0.424708992,0.342967587,0.351015869,2.676114677,0.000000000,2.668175184,-0.396926999,-0.385020707,-0.265895828,-0.438489424,0.000000000,-0.447367576,0.000000000,0.000060913,0.001313677,-0.009495366,0.000000000,-0.009890955,-0.000184000,0.000009447,-0.000196135,-0.018780026,0.000000000,-0.019510748,-0.000093000,0.000907007,-0.003672158,-0.200259645,0.000000000,-0.201186466,0.065779001,0.055282963,0.036888737,2.169768160,0.000000000,2.149059942,0.276113987,0.228375838,0.193272421,1.645619176,0.000000000,1.641599892,-0.291846007,-0.281859705,-0.179282822,-0.492158996,0.000000000,-0.499564573,0.000021000,0.000010800,0.000529716,-0.000421306,0.000000000,-0.000475123
0.021998017,-0.000298000,-0.000205527,0.000735520,-0.013913283,0.000000000,-0.014016238,0.000116000,-0.009723229,0.036235875,1.990468160,0.000000000,1.977132255,-0.006707000,-0.008807613,-0.002998446,0.685871855,0.000000000,0.664910672,0.424688995,0.343659033,0.345723000,2.668175184,0.000000000,2.660858577,-0.397004992,-0.385515010,-0.247151542,-0.447367576,0.000000000,-0.458583169,0.000000000,0.000063604,0.001345591,-0.009890955,0.000000000,-0.010253653,-0.000205000,0.000008907,-0.000477087,-0.019510748,0.000000000,-0.020102892,-0.000108000,0.000899598,-0.003705188,-0.201186466,0.000000000,-0.202597070,0.065828003,0.055357759,0.037398256,2.149059942,0.000000000,2.130203311,0.276059002,0.228756025,0.190093557,1.641599892,0.000000000,1.636707593,-0.291835994,-0.282188221,-0.164257941,-0.499564573,0.000000000,-0.508066826,0.000022000,0.000011868,0.000542133,-0.000475123,0.000000000,-0.000517327
0.023997837,-0.000319000,-0.000204919,0.000304621,-0.014016238,0.000000000,-0.013882800,0.000121000,-0.009651304,0.035962160,1.977132255,0.000000000,1.964300527,-0.006690000,-0.008811216,-0.001801523,0.664910672,0.000000000,0.643693741,0.424668998,0.344339971,0.340468874,2.660858577,0.000000000,2.653930335,-0.397085011,-0.385973347,-0.229168108,-0.458583169,0.000000000,-0.471475467,0.000000000,0.000066339,0.001367654,-0.010253653,0.000000000,-0.010592806,-0.000225000,0.000008174,-0.000790535,-0.020102892,0.000000000,-0.020384060,-0.000123000,0.000892117,-0.003741405,-0.202597070,0.000000000,-0.203914996,0.065879002,0.055433458,0.037849545,2.130203311,0.000000000,2.112974803,0.276003003,0.229130152,0.187063399,1.636707593,0.000000000,1.631077087,-0.291826010,-0.282488211,-0.149994777,-0.508066826,0.000000000,-0.517289547,0.000022000,0.000012962,0.000553778,-0.000517327,0.000000000,-0.000660999
0.025997657,-0.000339000,-0.000205178,-0.000130458,-0.013882800,0.000000000,-0.013526626,0.000124000,-0.009579957,0.035673847,1.964300527,0.000000000,1.951394385,-0.006671000,-0.008812474,-0.000628798,0.643693741,0.000000000,0.622926079,0.424647987,0.345010526,0.335277201,2.653930335,0.000000000,2.647150044,-0.397166014,-0.386397496,-0.212074643,-0.471475467,0.000000000,-0.485392079,0.000000000,0.000069100,0.001380353,-0.010592806,0.000000000,-0.010907904,-0.000246000,0.000007586,-0.001125805,-0.020384060,0.000000000,-0.020663771,-0.000138000,0.000884560,-0.003779253,-0.203914996,0.000000000,-0.205174524,0.065931000,0.055509965,0.038253462,2.112974803,0.000000000,2.096871936,0.275945991,0.229498469,0.184158454,1.631077087,0.000000000,1.624859544,-0.291815996,-0.282761293,-0.136541175,-0.517289547,0.000000000,-0.526927047,0.000022000,0.000014038,0.000543587,-0.000660999,0.000000000,-0.000740766
