time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,acc_leg_l1_joint,cmd_torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,acc_leg_l2_joint,cmd_torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,acc_leg_l3_joint,cmd_torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,acc_leg_l4_joint,cmd_torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,acc_leg_l5_joint,cmd_torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,acc_leg_l6_joint,cmd_torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,acc_leg_r1_joint,cmd_torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,acc_leg_r2_joint,cmd_torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,acc_leg_r3_joint,cmd_torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,acc_leg_r4_joint,cmd_torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,acc_leg_r5_joint,cmd_torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint,acc_leg_r6_joint,cmd_torque_leg_r6_joint
0.000000000,0.000000000,-0.000032835,-0.000344626,0.005421388,0.000000000,0.005448786,0.000000000,-0.009173735,0.018196153,2.195091628,0.000000000,2.196009383,-0.006823000,-0.006842084,-0.039493232,0.895326787,0.000000000,0.898721860,0.424885005,0.335890068,0.381316075,2.905557789,0.000000000,2.910970692,-0.396259993,-0.378050799,-0.412265755,-0.668186899,0.000000000,-0.668240703,0.000000000,0.000057685,-0.000539900,-0.004301902,0.000000000,-0.004295044,0.000000000,-0.000137036,-0.001590934,0.023385343,0.000000000,0.023603691,-0.435999990,-0.361048912,-0.394047194,-12.365541668,0.000000000,-12.391515402,0.000000000,0.005915059,-0.019721483,-1.233679825,0.000000000,-1.235245596,0.000000000,0.011971818,-0.007748044,-0.700624140,0.000000000,-0.701126823,0.000000000,0.006485291,-0.016871230,-0.607600295,0.000000000,-0.607471093,0.000000000,0.001331393,0.001471396,-0.138439059,0.000000000,-0.138740459
0.001999820,-0.000031000,-0.000033422,-0.000336984,0.005448786,0.000000000,0.002163851,0.000016000,-0.009137347,0.018193691,2.196009383,0.000000000,2.190270072,-0.006821000,-0.006921004,-0.039460528,0.898721860,0.000000000,0.920983433,0.424870014,0.336652803,0.381367714,2.910970692,0.000000000,2.861478579,-0.396315992,-0.378875325,-0.412262958,-0.668240703,0.000000000,-0.590577440,0.000000000,0.000056604,-0.000540627,-0.004295044,0.000000000,-0.004183707,0.000000000,-0.000140158,-0.001564087,0.023603691,0.000000000,0.023784645,-0.435999990,-0.361836916,-0.394002216,-12.391515402,0.000000000,-12.168546450,0.000000000,0.005875571,-0.019747339,-1.235245596,0.000000000,-1.223436649,0.000000000,0.011956255,-0.007781512,-0.701126823,0.000000000,-0.699905899,0.000000000,0.006451539,-0.016876312,-0.607471093,0.000000000,-0.604045439,0.000000000,0.001334342,0.001474344,-0.138740459,0.000000000,-0.139046850
0.003999639,-0.000061000,-0.000034179,-0.000437070,0.002163851,0.000000000,-0.000387227,0.000031000,-0.009100991,0.018177981,2.190270072,0.000000000,2.184555087,-0.006816000,-0.006998992,-0.038994182,0.920983433,0.000000000,0.934023990,0.424854010,0.337412337,0.379766835,2.861478579,0.000000000,2.823870800,-0.396375000,-0.379687204,-0.405939105,-0.590577440,0.000000000,-0.532467387,0.000000000,0.000055770,-0.000417084,-0.004183707,0.000000000,-0.004450640,0.000000000,-0.000143100,-0.001474068,0.023784645,0.000000000,0.023589153,-0.435999990,-0.362624140,-0.393611893,-12.168546450,0.000000000,-11.953610752,0.000000000,0.005836194,-0.019691768,-1.223436649,0.000000000,-1.213500896,0.000000000,0.011940231,-0.008012295,-0.699905899,0.000000000,-0.697253296,0.000000000,0.006418578,-0.016480565,-0.604045439,0.000000000,-0.601839335,0.000000000,0.001334937,0.000297329,-0.139046850,0.000000000,-0.135760697
0.005999459,-0.000091000,-0.000035254,-0.000613602,-0.000387227,0.000000000,-0.002472199,0.000045000,-0.009064735,0.018128004,2.184555087,0.000000000,2.179359343,-0.006810000,-0.007075444,-0.038226005,0.934023990,0.000000000,0.940085080,0.424836993,0.338166233,0.376948065,2.823870800,0.000000000,2.795211882,-0.396436006,-0.380477034,-0.394915477,-0.532467387,0.000000000,-0.490148802,0.000000000,0.000055241,-0.000264387,-0.004450640,0.000000000,-0.004831320,0.000000000,-0.000145913,-0.001409724,0.023589153,0.000000000,0.023525109,-0.435999990,-0.363410218,-0.393039167,-11.953610752,0.000000000,-11.743126440,0.000000000,0.005796962,-0.019619253,-1.213500896,0.000000000,-1.203989593,0.000000000,0.011923625,-0.008302678,-0.697253296,0.000000000,-0.694140381,0.000000000,0.006386767,-0.015905458,-0.601839335,0.000000000,-0.600259393,0.000000000,0.001332841,-0.001047751,-0.135760697,0.000000000,-0.131724849
0.007999279,-0.000120000,-0.000036760,-0.000848521,-0.002472199,0.000000000,-0.004074344,0.000057000,-0.009028627,0.018054017,2.179359343,0.000000000,2.174180272,-0.006802000,-0.007149908,-0.037232101,0.940085080,0.000000000,0.941043888,0.424820006,0.338912669,0.373218020,2.795211882,0.000000000,2.773503406,-0.396499991,-0.381237921,-0.380443163,-0.490148802,0.000000000,-0.460861318,0.000000000,0.000055022,-0.000109861,-0.004831320,0.000000000,-0.005248431,0.000000000,-0.000148642,-0.001368054,0.023525109,0.000000000,0.023580426,-0.435999990,-0.364194789,-0.392285209,-11.743126440,0.000000000,-11.537170001,0.000000000,0.005757891,-0.019539171,-1.203989593,0.000000000,-1.194695072,0.000000000,0.011906398,-0.008613953,-0.694140381,0.000000000,-0.690839636,0.000000000,0.006356349,-0.015208836,-0.600259393,0.000000000,-0.599165729,0.000000000,0.001328071,-0.002385142,-0.131724849,0.000000000,-0.127440540
0.009999099,-0.000148000,-0.000038789,-0.001126696,-0.004074344,0.000000000,-0.005269561,0.000069000,-0.008992702,0.017962832,2.174180272,0.000000000,2.169442048,-0.006792000,-0.007222058,-0.036075205,0.941043888,0.000000000,0.938226825,0.424802989,0.339650322,0.368826433,2.773503406,0.000000000,2.757050073,-0.396566004,-0.381965041,-0.363559881,-0.460861318,0.000000000,-0.442045647,0.000000000,0.000055078,0.000028063,-0.005248431,0.000000000,-0.005646221,0.000000000,-0.000151318,-0.001340960,0.023580426,0.000000000,0.023712439,-0.435999990,-0.364977444,-0.391327875,-11.537170001,0.000000000,-11.336357976,0.000000000,0.005719002,-0.019447793,-1.194695072,0.000000000,-1.185708073,0.000000000,0.011888519,-0.008939284,-0.690839636,0.000000000,-0.687397879,0.000000000,0.006327487,-0.014431278,-0.599165729,0.000000000,-0.598459330,0.000000000,0.001320684,-0.003693404,-0.127440540,0.000000000,-0.122974605
0.011998918,-0.000176000,-0.000041413,-0.001436104,-0.005269561,0.000000000,-0.006224756,0.000079000,-0.008956984,0.017858846,2.169442048,0.000000000,2.164483982,-0.006781000,-0.007291667,-0.034804758,0.938226825,0.000000000,0.932403287,0.424784988,0.340378260,0.363969137,2.757050073,0.000000000,2.744458508,-0.396634012,-0.382655237,-0.345098272,-0.442045647,0.000000000,-0.431650607,0.000000000,0.000055359,0.000140539,-0.005646221,0.000000000,-0.005994394,0.000000000,-0.000153965,-0.001326128,0.023712439,0.000000000,0.023910676,-0.435999990,-0.365757774,-0.390164587,-11.336357976,0.000000000,-11.140865739,0.000000000,0.005680310,-0.019349521,-1.185708073,0.000000000,-1.176932870,0.000000000,0.011869991,-0.009264225,-0.687397879,0.000000000,-0.683917854,0.000000000,0.006300240,-0.013623335,-0.598459330,0.000000000,-0.598002627,0.000000000,0.001310801,-0.004941762,-0.122974605,0.000000000,-0.118426645
0.013998738,-0.000202000,-0.000044689,-0.001768669,-0.006224756,0.000000000,-0.006766251,0.000089000,-0.008921495,0.017744217,2.164483982,0.000000000,2.159831806,-0.006769000,-0.007358584,-0.033458565,0.932403287,0.000000000,0.924385486,0.424766988,0.341095855,0.358797360,2.744458508,0.000000000,2.734755621,-0.396703988,-0.383306684,-0.325723653,-0.431650607,0.000000000,-0.427966235,0.000000000,0.000055818,0.000229814,-0.005994394,0.000000000,-0.006294648,0.000000000,-0.000156603,-0.001321900,0.023910676,0.000000000,0.024168008,-0.435999990,-0.366535378,-0.388802278,-11.140865739,0.000000000,-10.950649611,0.000000000,0.005641819,-0.019249183,-1.176932870,0.000000000,-1.168261435,0.000000000,0.011850837,-0.009576716,-0.683917854,0.000000000,-0.680486836,0.000000000,0.006274595,-0.012822217,-0.598002627,0.000000000,-0.597688446,0.000000000,0.001298599,-0.006100597,-0.118426645,0.000000000,-0.113898964
0.015998558,-0.000228000,-0.000048660,-0.002116498,-0.006766251,0.000000000,-0.007147374,0.000097000,-0.008886254,0.017620917,2.159831806,0.000000000,2.154877384,-0.006755000,-0.007422715,-0.032065921,0.924385486,0.000000000,0.915093792,0.424748003,0.341802712,0.353428521,2.734755621,0.000000000,2.727069568,-0.396777004,-0.383918613,-0.305964595,-0.427966235,0.000000000,-0.429675943,0.000000000,0.000056412,0.000296814,-0.006294648,0.000000000,-0.006545120,0.000000000,-0.000159250,-0.001325538,0.024168008,0.000000000,0.024470644,-0.435999990,-0.367309873,-0.387247691,-10.950649611,0.000000000,-10.765666378,0.000000000,0.005603530,-0.019148015,-1.168261435,0.000000000,-1.159666299,0.000000000,0.011831093,-0.009872091,-0.680486836,0.000000000,-0.677140173,0.000000000,0.006250502,-0.012046816,-0.597688446,0.000000000,-0.597457886,0.000000000,0.001284290,-0.007154736,-0.113898964,0.000000000,-0.109455864
0.017998378,-0.000252000,-0.000053358,-0.002475562,-0.007147374,0.000000000,-0.007174317,0.000104000,-0.008851274,0.017489726,2.154877384,0.000000000,2.149891771,-0.006740000,-0.007484010,-0.030647230,0.915093792,0.000000000,0.904690640,0.424728990,0.342498611,0.347949411,2.727069568,0.000000000,2.720857624,-0.396851003,-0.384491097,-0.286241800,-0.429675943,0.000000000,-0.435368522,0.000000000,0.000057107,0.000347566,-0.006545120,0.000000000,-0.006759657,0.000000000,-0.000161913,-0.001334057,0.024470644,0.000000000,0.024802732,-0.435999990,-0.368080885,-0.385505713,-10.765666378,0.000000000,-10.585912059,0.000000000,0.005565446,-0.019045059,-1.159666299,0.000000000,-1.151170128,0.000000000,0.011810793,-0.010150076,-0.677140173,0.000000000,-0.673881996,0.000000000,0.006227891,-0.011305295,-0.597457886,0.000000000,-0.597280888,0.000000000,0.001268088,-0.008100985,-0.109455864,0.000000000,-0.105128226
