time,leg_l1_joint,leg_l2_joint,leg_l3_joint,leg_l4_joint,leg_l5_joint,leg_l6_joint,leg_r1_joint,leg_r2_joint,leg_r3_joint,leg_r4_joint,leg_r5_joint,leg_r6_joint
0.00000,0.000000,0.000000,-0.006823,0.424885,-0.396260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.00200,-0.000031,0.000016,-0.006821,0.424870,-0.396316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.00400,-0.000061,0.000031,-0.006816,0.424854,-0.396375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.00600,-0.000091,0.000045,-0.006810,0.424837,-0.396436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.00800,-0.000120,0.000057,-0.006802,0.424820,-0.396500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01000,-0.000148,0.000069,-0.006792,0.424803,-0.396566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01200,-0.000176,0.000079,-0.006781,0.424785,-0.396634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01400,-0.000202,0.000089,-0.006769,0.424767,-0.396704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01600,-0.000228,0.000097,-0.006755,0.424748,-0.396777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01800,-0.000252,0.000104,-0.006740,0.424729,-0.396851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.02000,-0.000276,0.000111,-0.006724,0.424709,-0.396927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.02200,-0.000298,0.000116,-0.006707,0.424689,-0.397005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.02400,-0.000319,0.000121,-0.006690,0.424669,-0.397085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.02600,-0.000339,0.000124,-0.006671,0.424648,-0.397166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.02800,-0.000357,0.000127,-0.006653,0.424627,-0.397249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.03000,-0.000374,0.000129,-0.006634,0.424606,-0.397333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.03200,-0.000390,0.000130,-0.006614,0.424584,-0.397419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.03400,-0.000404,0.000130,-0.006594,0.424562,-0.397507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.03600,-0.000416,0.000128,-0.006572,0.424539,-0.397601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.03800,-0.000428,0.000125,-0.006546,0.424515,-0.397702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.04000,-0.000438,0.000120,-0.006518,0.424489,-0.397810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
