time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,-0.000146528,0.000577750,0.847723109,0.000000000,-0.000754132,0.000997605,0.232071908,-0.006823000,-0.010414255,-0.008927423,1.193316650,0.424885005,0.347912366,0.376087079,2.200978480,-0.396259993,-0.378100650,-0.411104356,-0.670398483,0.000000000,0.000010167,-0.002209260,-0.006942934,0.000000000,0.000016667,-0.000349411,0.000395631,0.000000000,0.000735621,-0.000162257,-0.205793081,0.065402001,0.052703399,0.060404291,2.235486571,0.276596010,0.223708123,0.236617553,1.654015264,-0.291951001,-0.276882448,-0.306168026,-0.652425741,0.000000000,0.000002050,0.000011667,-0.000234806
0.001999820,-0.000031000,0.000147034,0.146781153,0.012351553,0.000016000,-0.000752593,0.000769405,0.191793412,-0.006821000,-0.010431991,-0.008867736,1.222725637,0.424870014,0.348663801,0.375717729,2.188749949,-0.396315992,-0.378921946,-0.410647927,-0.666504431,0.000000000,0.000010506,0.000169089,0.005253357,-0.000017000,0.000015932,-0.000367748,0.000199341,-0.000004000,0.000735312,-0.000154659,-0.205426496,0.065428004,0.052824173,0.060387408,2.243229619,0.276553988,0.224181259,0.236567797,1.658785873,-0.291940987,-0.277494787,-0.306169591,-0.652467639,0.000004000,0.000002120,0.000035188,-0.000240324
0.003999639,-0.000061000,-0.000146269,-0.146651665,-0.849024471,0.000031000,-0.000754120,-0.000763614,0.201065575,-0.006816000,-0.010445989,-0.006999065,1.226985297,0.424854010,0.349404508,0.370353656,2.142963989,-0.396375000,-0.379724778,-0.401416137,-0.590457287,0.000000000,0.000014701,0.002097583,-0.001542465,-0.000034000,0.000015369,-0.000281293,-0.001430629,-0.000010000,0.000735070,-0.000120605,-0.206647421,0.065458000,0.052945960,0.060893138,2.216672952,0.276510000,0.224650258,0.234499403,1.626599658,-0.291929990,-0.278093810,-0.299511283,-0.589565107,0.000007000,0.000002322,0.000101111,0.000089953
0.005999459,-0.000091000,0.000146231,0.146250110,0.838404208,0.000045000,-0.000752021,0.001049786,0.240438726,-0.006810000,-0.010459808,-0.006909785,1.190117896,0.424836993,0.350141774,0.368632800,2.133294154,-0.396436006,-0.380503939,-0.389580462,-0.541528724,0.000000000,0.000009665,-0.002517725,-0.007449158,-0.000051000,0.000015091,-0.000139118,-0.003671630,-0.000016000,0.000734803,-0.000133795,-0.209054594,0.065490000,0.053069144,0.061592088,2.179142930,0.276464999,0.225113100,0.231421227,1.608898976,-0.291918993,-0.278670922,-0.288556298,-0.546843042,0.000010000,0.000002743,0.000210110,0.000185291
0.007999279,-0.000120000,-0.000146289,-0.146259958,-0.852331338,0.000057000,-0.000753531,-0.000755154,0.202804069,-0.006802000,-0.010468840,-0.004516023,1.193732101,0.424820006,0.350863581,0.360903644,2.097881727,-0.396499991,-0.381247214,-0.371637569,-0.502597152,0.000000000,0.000013108,0.001721250,0.006181069,-0.000069000,0.000014887,-0.000101652,-0.006258035,-0.000024000,0.000734529,-0.000137016,-0.210385664,0.065523997,0.053193909,0.062382499,2.137414806,0.276419014,0.225568743,0.227821492,1.598700687,-0.291909009,-0.279220677,-0.274877349,-0.518550761,0.000013000,0.000003509,0.000383400,0.000136133
0.009999099,-0.000148000,-0.000145655,0.000316939,0.829902277,0.000069000,-0.000751628,0.000951374,0.247470245,-0.006792000,-0.010477075,-0.004117533,1.144428886,0.424802989,0.351579105,0.357761903,2.106154609,-0.396566004,-0.381955704,-0.354244842,-0.484956394,0.000000000,0.000008609,-0.002249449,-0.006218252,-0.000088000,0.000014785,-0.000051300,-0.008366889,-0.000033000,0.000734168,-0.000180256,-0.212508863,0.065560997,0.053320104,0.063097783,2.093736134,0.276371002,0.226016967,0.224111881,1.592602269,-0.291898012,-0.279739754,-0.259538506,-0.500870040,0.000015000,0.000004501,0.000495990,-0.000130832
0.011998918,-0.000176000,0.000145980,0.145817451,-0.002042252,0.000079000,-0.000750289,0.000669665,0.211740384,-0.006781000,-0.010482222,-0.002573254,1.140598689,0.424784988,0.352282182,0.351538480,2.082215155,-0.396634012,-0.382623621,-0.333958505,-0.469471924,0.000000000,0.000008874,0.000132399,0.005525125,-0.000106000,0.000014552,-0.000116231,-0.010665942,-0.000043000,0.000733761,-0.000203700,-0.213986553,0.065600999,0.053447664,0.063779994,2.052203614,0.276322007,0.226457697,0.220364993,1.587625478,-0.291887999,-0.280226322,-0.243284048,-0.490906434,0.000017000,0.000005698,0.000598268,-0.000349051
0.013998738,-0.000202000,-0.000146091,-0.146035367,-0.858918199,0.000089000,-0.000752204,-0.000957439,0.220574096,-0.006769000,-0.010482420,-0.000099094,1.110258151,0.424766988,0.352968541,0.343179509,2.080904376,-0.396703988,-0.383248879,-0.312629276,-0.466516262,0.000000000,0.000012944,0.002035181,-0.001273231,-0.000125000,0.000014093,-0.000229526,-0.012192635,-0.000055000,0.000733300,-0.000230347,-0.216182929,0.065641999,0.053576370,0.064352746,2.011884821,0.276271999,0.226891218,0.216760621,1.583324880,-0.291877002,-0.280679729,-0.226703435,-0.486930828,0.000018000,0.000007000,0.000650872,-0.000558624
0.015998558,-0.000228000,-0.000145660,0.000215317,0.819870557,0.000097000,-0.000750541,0.000831348,0.260764307,-0.006755000,-0.010482059,0.000180618,1.057762447,0.424748003,0.353648553,0.340005920,2.095829065,-0.396777004,-0.383836745,-0.293932724,-0.471035613,0.000000000,0.000007848,-0.002548170,-0.007094211,-0.000145000,0.000013399,-0.000347088,-0.013528271,-0.000067000,0.000732729,-0.000285722,-0.218860178,0.065686002,0.053705986,0.064808039,1.974000044,0.276219994,0.227317892,0.213337020,1.578402610,-0.291866988,-0.281100030,-0.210150616,-0.487134524,0.000019000,0.000008309,0.000654718,-0.000738672
0.017998378,-0.000252000,0.000145612,0.145636166,-0.009994387,0.000104000,-0.000749406,0.000567358,0.222105086,-0.006740000,-0.010478961,0.001548719,1.055312419,0.424728990,0.354316614,0.334030619,2.074234860,-0.396851003,-0.384384444,-0.273849687,-0.472156616,0.000000000,0.000007679,-0.000084294,0.006451318,-0.000164000,0.000012288,-0.000555701,-0.014921300,-0.000080000,0.000732079,-0.000324744,-0.220856175,0.065732002,0.053836387,0.065200492,1.939366718,0.276167989,0.227738004,0.210055799,1.572501799,-0.291855991,-0.281487914,-0.193942129,-0.490704421,0.000020000,0.000009707,0.000699043,-0.000780880
