time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,-0.003623962,0.004396439,0.550662231,0.000000000,0.003623962,-0.057142258,-1.120880127,-0.006823000,-0.006294250,0.030769348,-1.419790649,0.424885005,0.314526558,0.426374435,4.029296875,-0.396259993,-0.369458515,-0.355881154,-1.487741950,0.000000000,-0.002633476,-0.061135133,0.084911469,0.000000000,-0.003623962,-0.039560318,0.550662231,0.000000000,0.001335144,-0.013187408,0.523086548,0.065402001,0.054360390,-0.013187408,3.960433960,0.276596010,0.183299065,0.197801590,3.589752197,-0.291951001,-0.263443841,-0.294437395,-2.082817414,0.000000000,-0.000856190,0.137316276,0.265997666
0.001999820,-0.000031000,-0.003623962,0.004396439,0.550662231,0.000016000,0.003623962,0.013187408,-2.316494751,-0.006821000,-0.006294250,0.030769348,-1.419790649,0.424870014,0.316052437,0.399999619,2.710632324,-0.396315992,-0.370031173,-0.355902735,-1.686094559,0.000000000,-0.001313820,-0.060997819,0.171290333,-0.000017000,-0.003623962,0.013187408,0.550662231,-0.000004000,0.001335144,-0.013187408,-1.718673706,0.065428004,0.054360390,0.065933228,2.764846802,0.276553988,0.184062004,0.197801590,3.443237305,-0.291940987,-0.264206528,-0.303221189,-1.785276728,0.000004000,-0.000856328,0.117714295,0.221604054
0.003999639,-0.000061000,-0.004005432,-0.013187408,0.330416107,0.000031000,0.003623962,-0.021978378,-1.419790649,-0.006816000,-0.006294250,-0.057142258,-0.672528076,0.424854010,0.316433907,0.329669952,3.882781982,-0.396375000,-0.370984382,-0.364703471,-1.487765442,0.000000000,-0.001754274,-0.020490258,0.171133249,-0.000034000,-0.003623962,-0.004396439,0.330416107,-0.000010000,0.001335144,-0.004396439,-1.270321655,0.065458000,0.054360390,0.021978378,2.914288330,0.276510000,0.184443474,0.180219650,3.443237305,-0.291929990,-0.264778582,-0.298819753,-1.586861509,0.000007000,-0.000430494,0.166862035,0.132993268
0.005999459,-0.000091000,-0.003623962,0.030769348,0.330416107,0.000045000,0.003623962,-0.048351288,-1.270321655,-0.006810000,-0.006294250,0.013187408,-0.224176025,0.424836993,0.317196846,0.285715103,3.296691895,-0.396436006,-0.371556192,-0.377888950,-1.487848758,0.000000000,-0.002194768,-0.010407340,0.256826309,-0.000051000,-0.003623962,-0.021978378,0.550662231,-0.000016000,0.001335144,0.030769348,-0.523086548,0.065490000,0.054360390,0.065933228,4.109902954,0.276464999,0.184443474,0.153846741,3.736267090,-0.291918993,-0.265350591,-0.303195653,-1.289315092,0.000010000,-0.000004510,0.137472477,0.088761438
0.007999279,-0.000120000,-0.003623962,0.004396439,0.550662231,0.000057000,0.003623962,-0.013187408,-2.017584229,-0.006802000,-0.006294250,-0.004396439,-0.672528076,0.424820006,0.317578316,0.276922226,3.589752197,-0.396499991,-0.372318888,-0.408630078,-1.487930348,0.000000000,-0.002195218,-0.040879803,0.342652092,-0.000069000,-0.003623962,-0.013187408,0.550662231,-0.000024000,0.001335144,-0.101099014,-0.523086548,0.065523997,0.054360390,0.004396439,3.063729858,0.276419014,0.184824944,0.171428680,3.443237305,-0.291909009,-0.266113278,-0.311983686,-1.586844135,0.000013000,-0.000004451,0.137504288,0.044370468
0.009999099,-0.000148000,-0.003623962,0.039560318,0.550662231,0.000069000,0.003623962,0.013187408,-1.569232178,-0.006792000,-0.006294250,-0.039560318,-0.224176025,0.424802989,0.318341255,0.250549316,4.029296875,-0.396566004,-0.373272470,-0.408672972,-1.388729872,0.000000000,-0.001755310,0.040383681,0.385697050,-0.000088000,-0.003623962,0.021978378,0.550662231,-0.000033000,0.001335144,0.030769348,-0.971438599,0.065560997,0.054360390,-0.013187408,3.063729858,0.276371002,0.185206413,0.162637711,3.882781982,-0.291898012,-0.266685241,-0.333939870,-1.487667710,0.000015000,0.000421781,0.127748504,0.000161818
0.011998918,-0.000176000,-0.003623962,0.013187408,0.550662231,0.000079000,0.003623962,-0.065933228,-1.569232178,-0.006781000,-0.006294250,-0.013187408,-0.224176025,0.424784988,0.318722725,0.320878983,3.736267090,-0.396634012,-0.374035166,-0.399884005,-1.686283467,0.000000000,-0.001755657,0.040395981,0.428380504,-0.000106000,-0.003623962,0.013187408,0.550662231,-0.000043000,0.001335144,0.030769348,-2.316494751,0.065600999,0.054360390,0.021978378,3.512081909,0.276322007,0.185587883,0.162637711,4.322357178,-0.291887999,-0.267447929,-0.338340177,-1.388497007,0.000017000,0.000421939,0.078649213,-0.044201226
0.013998738,-0.000202000,-0.003623962,0.004396439,0.770939636,0.000089000,0.003623962,0.004396439,-2.167025757,-0.006769000,-0.006294250,-0.004396439,-1.270321655,0.424766988,0.319485664,0.347251892,3.589752197,-0.396703988,-0.374797863,-0.399894489,-1.686236133,0.000000000,-0.001756003,0.060721256,0.342465225,-0.000125000,-0.003623962,0.030769348,0.770939636,-0.000055000,0.001335144,-0.048351288,-0.074734497,0.065641999,0.054360390,0.021978378,2.914288330,0.276271999,0.185969353,0.180219650,3.589752197,-0.291877002,-0.268019847,-0.338331590,-1.586878382,0.000018000,0.000848419,0.078706889,-0.132688057
0.015998558,-0.000228000,-0.003623962,0.013187408,0.770939636,0.000097000,0.003623962,0.021978378,-1.868142700,-0.006755000,-0.006294250,-0.004396439,-0.523086548,0.424748003,0.320248604,0.399999619,4.175811768,-0.396777004,-0.375560560,-0.408682502,-1.785389105,0.000000000,-0.001756351,0.060730935,0.299440191,-0.000145000,-0.003623962,0.030769348,0.550662231,-0.000067000,0.001335144,0.004396439,-0.523086548,0.065686002,0.054741859,0.074726105,3.063729858,0.276219994,0.186350822,0.145055771,3.589752197,-0.291866988,-0.268973063,-0.325162464,-1.487702128,0.000019000,0.001275227,0.009956030,-0.088176844
0.017998378,-0.000252000,-0.003623962,0.030769348,0.991217041,0.000104000,0.003623962,-0.048351288,-1.270321655,-0.006740000,-0.006294250,-0.057142258,-0.821969604,0.424728990,0.321011543,0.452747345,3.003662109,-0.396851003,-0.376323257,-0.369139330,-1.785436729,0.000000000,-0.001756699,0.070928986,0.385137989,-0.000164000,-0.003623962,-0.013187408,0.770939636,-0.000080000,0.001335144,0.013187408,-0.373617554,0.065732002,0.054741859,0.074726105,3.063729858,0.276167989,0.186732292,0.180219650,3.589752197,-0.291855991,-0.269545370,-0.351530805,-1.487667525,0.000020000,-0.000004190,-0.049161021,-0.088648375
