time,leg_l1_joint,leg_l2_joint,leg_l3_joint,leg_l4_joint,leg_l5_joint,leg_l6_joint,leg_r1_joint,leg_r2_joint,leg_r3_joint,leg_r4_joint,leg_r5_joint,leg_r6_joint
0.00000,-0.003624,0.003624,-0.006294,0.314527,-0.369459,-0.002633,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.00200,-0.003624,0.003624,-0.006294,0.316052,-0.370031,-0.001314,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.00400,-0.004005,0.003624,-0.006294,0.316434,-0.370984,-0.001754,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.00600,-0.003624,0.003624,-0.006294,0.317197,-0.371556,-0.002195,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.00800,-0.003624,0.003624,-0.006294,0.317578,-0.372319,-0.002195,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.01000,-0.003624,0.003624,-0.006294,0.318341,-0.373272,-0.001755,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.01200,-0.003624,0.003624,-0.006294,0.318723,-0.374035,-0.001756,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.01400,-0.003624,0.003624,-0.006294,0.319486,-0.374798,-0.001756,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.01600,-0.003624,0.003624,-0.006294,0.320249,-0.375561,-0.001756,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.01800,-0.003624,0.003624,-0.006294,0.321012,-0.376323,-0.001757,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.02000,-0.003624,0.003624,-0.006294,0.321774,-0.377086,-0.001757,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.02200,-0.003624,0.003624,-0.006294,0.322537,-0.378230,-0.002640,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.02400,-0.003624,0.003624,-0.006294,0.323682,-0.378992,-0.002640,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.02600,-0.003624,0.003624,-0.006294,0.323682,-0.378992,-0.002640,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.02800,-0.003624,0.003624,-0.006294,0.325971,-0.380328,0.000449,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.03000,-0.003624,0.003624,-0.006294,0.326734,-0.382043,-0.002643,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.03200,-0.003624,0.003624,-0.006294,0.327497,-0.382806,-0.002643,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.03400,-0.003624,0.003624,-0.006294,0.328259,-0.383377,-0.003086,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.03600,-0.003624,0.003624,-0.006294,0.329404,-0.383950,-0.001760,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.03800,-0.003624,0.003624,-0.006294,0.329785,-0.384522,-0.002203,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.04000,-0.003624,0.003624,-0.006294,0.330548,-0.384903,-0.002203,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.04200,-0.003624,0.003624,-0.006294,0.330930,-0.385476,-0.001761,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.04400,-0.003624,0.003624,-0.005913,0.331311,-0.385857,-0.001761,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.04600,-0.003624,0.003242,-0.005913,0.331693,-0.386238,-0.001761,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.04800,-0.003624,0.003242,-0.006294,0.332456,-0.386620,-0.001761,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05000,-0.003624,0.003624,-0.005913,0.333219,-0.387001,-0.001762,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05200,-0.003624,0.003624,-0.005913,0.333982,-0.387382,-0.001762,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05400,-0.003624,0.003242,-0.005913,0.334744,-0.387764,-0.001762,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05599,-0.003624,0.003242,-0.005913,0.335507,-0.388145,-0.001762,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05799,-0.003624,0.003242,-0.005913,0.336270,-0.388336,-0.001320,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.05999,-0.003624,0.003242,-0.005913,0.336652,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.06199,-0.003624,0.003242,-0.005913,0.337033,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.06399,-0.003624,0.003242,-0.005913,0.337415,-0.389098,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.06599,-0.003624,0.003242,-0.005913,0.337796,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.06799,-0.003624,0.003242,-0.005913,0.338178,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.06999,-0.003624,0.003242,-0.005913,0.338941,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.07199,-0.003624,0.003242,-0.005913,0.339704,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.07399,-0.003624,0.003242,-0.005913,0.340466,-0.389098,-0.003091,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.07599,-0.003624,0.003242,-0.005913,0.341229,-0.389098,-0.003091,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.07799,-0.003624,0.003242,-0.005913,0.341992,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.07999,-0.003624,0.003242,-0.005913,0.342374,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.08199,-0.003624,0.003242,-0.005913,0.342755,-0.389289,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.08399,-0.003624,0.003242,-0.005913,0.343137,-0.388907,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.08599,-0.003624,0.003242,-0.005913,0.343518,-0.388907,-0.002648,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.08799,-0.003624,0.003242,-0.005531,0.343901,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.08999,-0.003624,0.003242,-0.005913,0.344282,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.09199,-0.003624,0.003242,-0.005531,0.344664,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.09399,-0.003624,0.003242,-0.005531,0.345427,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.09599,-0.003624,0.003242,-0.005531,0.345808,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.09799,-0.003624,0.003242,-0.005531,0.346571,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.09999,-0.003624,0.003242,-0.005531,0.347334,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.10199,-0.003624,0.003242,-0.005531,0.347715,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.10399,-0.003624,0.003242,-0.005531,0.348097,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.10599,-0.004005,0.003242,-0.005531,0.348478,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.10799,-0.003624,0.003242,-0.005531,0.348860,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.10999,-0.004005,0.003242,-0.005531,0.349241,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.11199,-0.004005,0.003242,-0.005150,0.349623,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.11399,-0.004005,0.003242,-0.005150,0.350004,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.11599,-0.004005,0.003242,-0.005150,0.350386,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.11799,-0.004005,0.003242,-0.005150,0.350767,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.11999,-0.003624,0.003242,-0.005150,0.351149,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.12199,-0.003624,0.003242,-0.005150,0.351530,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.12399,-0.003624,0.003242,-0.005150,0.351912,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.12599,-0.003624,0.003242,-0.005150,0.352293,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.12799,-0.003624,0.003242,-0.005150,0.352674,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.12999,-0.003624,0.003242,-0.005150,0.353437,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.13199,-0.003624,0.003242,-0.005150,0.353819,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.13399,-0.004005,0.003242,-0.005150,0.354200,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.13599,-0.004005,0.003242,-0.005150,0.354582,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.13799,-0.004005,0.003242,-0.005150,0.354963,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.13999,-0.003624,0.003242,-0.005150,0.355345,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.14199,-0.004005,0.003242,-0.004768,0.355726,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.14399,-0.004005,0.003242,-0.004768,0.355726,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
0.14599,-0.004005,0.003242,-0.004768,0.356108,-0.388717,-0.002205,0.000000,-0.436000,0.000000,0.000000,0.000000,0.000000
