time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,acc_leg_l1_joint,cmd_torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,acc_leg_l2_joint,cmd_torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,acc_leg_l3_joint,cmd_torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,acc_leg_l4_joint,cmd_torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,acc_leg_l5_joint,cmd_torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,acc_leg_l6_joint,cmd_torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,acc_leg_r1_joint,cmd_torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,acc_leg_r2_joint,cmd_torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,acc_leg_r3_joint,cmd_torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,acc_leg_r4_joint,cmd_torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,acc_leg_r5_joint,cmd_torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint,acc_leg_r6_joint,cmd_torque_leg_r6_joint
0.000000000,-0.003624000,-0.003508027,-0.002711025,0.003095218,0.000000000,0.002969091,0.003624000,-0.005885691,0.018184784,2.290420508,0.000000000,2.291760517,-0.006294000,-0.004231352,-0.035209496,0.209468800,0.000000000,0.210106204,0.314527005,0.247709221,0.287375155,2.174472773,0.000000000,2.177882872,-0.369459003,-0.351810944,-0.385233211,-0.688242475,0.000000000,-0.688383193,-0.002633000,-0.002496438,-0.003367129,-0.004242306,0.000000000,-0.004228890,0.000000000,0.000010356,-0.000271426,0.000441738,0.000000000,0.000431021,0.000000000,0.000828774,-0.001522166,-0.201027052,0.000000000,-0.201144935,0.000000000,0.004693696,0.000885601,-1.354566698,0.000000000,-1.354190980,0.000000000,0.012194926,-0.002679985,-0.751339127,0.000000000,-0.751243188,0.000000000,0.006756250,-0.014800503,-0.640741968,0.000000000,-0.640742624,0.000000000,0.000002715,0.000055362,-0.000429744,0.000000000,-0.000431797
0.001999820,-0.003624000,-0.003513439,-0.002705979,0.002969091,0.000000000,0.003517422,0.003624000,-0.005849350,0.018170530,2.291760517,0.000000000,2.281753162,-0.006294000,-0.004301768,-0.035208551,0.210106204,0.000000000,0.230100267,0.316051990,0.248284019,0.287399044,2.177882872,0.000000000,2.237731609,-0.370030999,-0.352581416,-0.385236168,-0.688383193,0.000000000,-0.668315774,-0.001314000,-0.002503174,-0.003368056,-0.004228890,0.000000000,0.129759272,0.000000000,0.000010026,-0.000272136,0.000431021,0.000000000,0.000470263,0.000000000,0.000825733,-0.001520882,-0.201144935,0.000000000,-0.200309544,0.000000000,0.004695401,0.000853036,-1.354190980,0.000000000,-1.353939131,0.000000000,0.012189471,-0.002727645,-0.751243188,0.000000000,-0.750559843,0.000000000,0.006726643,-0.014803861,-0.640742624,0.000000000,-0.637740773,0.000000000,0.000002794,0.000055758,-0.000431797,0.000000000,-0.000440922
0.003999639,-0.004005000,-0.003519539,-0.003049801,0.003517422,0.000000000,-0.034499671,0.003624000,-0.005814055,0.017647678,2.281753162,0.000000000,2.283547026,-0.006294000,-0.004372432,-0.035332384,0.230100267,0.000000000,0.252987100,0.316433996,0.248859725,0.287853317,2.237731609,0.000000000,2.222267552,-0.370983988,-0.353349898,-0.384240805,-0.668315774,0.000000000,-0.689792818,-0.001754000,-0.002464579,0.019297782,0.129759272,0.000000000,0.016951039,0.000000000,0.000009719,-0.000268055,0.000470263,0.000000000,0.000479850,0.000000000,0.000822700,-0.001516518,-0.200309544,0.000000000,-0.199546315,0.000000000,0.004697070,0.000834668,-1.353939131,0.000000000,-1.353997944,0.000000000,0.012183798,-0.002836599,-0.750559843,0.000000000,-0.749427050,0.000000000,0.006697644,-0.014499225,-0.637740773,0.000000000,-0.635676126,0.000000000,0.000002865,0.000048858,-0.000440922,0.000000000,-0.000428494
0.005999459,-0.003624000,-0.003526226,-0.003343647,-0.034499671,0.000000000,0.008486400,0.003624000,-0.005779001,0.017527196,2.283547026,0.000000000,2.276308173,-0.006294000,-0.004443179,-0.035374004,0.252987100,0.000000000,0.274038016,0.317196995,0.249436108,0.288191296,2.222267552,0.000000000,2.231652826,-0.371556014,-0.354119160,-0.384631149,-0.689792818,0.000000000,-0.668749361,-0.002195000,-0.002418578,0.023000511,0.016951039,0.000000000,-0.042794577,0.000000000,0.000009437,-0.000264285,0.000479850,0.000000000,0.000488615,0.000000000,0.000819674,-0.001513406,-0.199546315,0.000000000,-0.198756553,0.000000000,0.004698704,0.000817464,-1.353997944,0.000000000,-1.354073323,0.000000000,0.012177871,-0.002963333,-0.749427050,0.000000000,-0.748151862,0.000000000,0.006669634,-0.014005312,-0.635676126,0.000000000,-0.634249425,0.000000000,0.000002930,0.000043638,-0.000428494,0.000000000,-0.000420201
0.007999279,-0.003624000,-0.003532624,-0.003199280,0.008486400,0.000000000,0.008352024,0.003624000,-0.005743696,0.017652356,2.276308173,0.000000000,2.263442003,-0.006294000,-0.004514006,-0.035414008,0.274038016,0.000000000,0.295075120,0.317577988,0.250012915,0.288403444,2.231652826,0.000000000,2.217776288,-0.372319013,-0.354886077,-0.383458772,-0.668749361,0.000000000,-0.671686409,-0.002195000,-0.002385552,0.016512942,-0.042794577,0.000000000,-0.027688180,0.000000000,0.000009179,-0.000262108,0.000488615,0.000000000,0.000503799,0.000000000,0.000816655,-0.001509980,-0.198756553,0.000000000,-0.197975829,0.000000000,0.004700292,0.000794400,-1.354073323,0.000000000,-1.354003028,0.000000000,0.012171702,-0.003084635,-0.748151862,0.000000000,-0.746899966,0.000000000,0.006642845,-0.013394372,-0.634249425,0.000000000,-0.633278924,0.000000000,0.000002986,0.000037124,-0.000420201,0.000000000,-0.000407344
0.009999099,-0.003624000,-0.003538904,-0.003139782,0.008352024,0.000000000,0.008684903,0.003624000,-0.005708328,0.017683934,2.263442003,0.000000000,2.252674610,-0.006294000,-0.004584655,-0.035324821,0.295075120,0.000000000,0.313139344,0.318340987,0.250589444,0.288264831,2.217776288,0.000000000,2.230539889,-0.373272002,-0.355650676,-0.382299183,-0.671686409,0.000000000,-0.694022806,-0.001755000,-0.002360228,0.012661808,-0.027688180,0.000000000,0.025169861,0.000000000,0.000008944,-0.000262152,0.000503799,0.000000000,0.000529060,0.000000000,0.000813646,-0.001504936,-0.197975829,0.000000000,-0.197234570,0.000000000,0.004701822,0.000765077,-1.354003028,0.000000000,-1.353774519,0.000000000,0.012165316,-0.003192640,-0.746899966,0.000000000,-0.745728939,0.000000000,0.006617420,-0.012712391,-0.633278924,0.000000000,-0.632648239,0.000000000,0.000003030,0.000028620,-0.000407344,0.000000000,-0.000387585
0.011998918,-0.003624000,-0.003545392,-0.003244119,0.008684903,0.000000000,0.009966510,0.003624000,-0.005673315,0.017506366,2.252674610,0.000000000,2.246738834,-0.006294000,-0.004655155,-0.035250368,0.313139344,0.000000000,0.331494560,0.318722993,0.251166158,0.288356978,2.230539889,0.000000000,2.217586192,-0.374035001,-0.356416395,-0.382859546,-0.694022806,0.000000000,-0.692154796,-0.001756000,-0.002324668,0.017780044,0.025169861,0.000000000,0.006923771,0.000000000,0.000008734,-0.000264137,0.000529060,0.000000000,0.000562753,0.000000000,0.000810648,-0.001499158,-0.197234570,0.000000000,-0.196513176,0.000000000,0.004703278,0.000728371,-1.353774519,0.000000000,-1.353358142,0.000000000,0.012158753,-0.003281868,-0.745728939,0.000000000,-0.744680109,0.000000000,0.006593435,-0.011992633,-0.632648239,0.000000000,-0.632270441,0.000000000,0.000003062,0.000020669,-0.000387585,0.000000000,-0.000368202
0.013998738,-0.003624000,-0.003552048,-0.003327977,0.009966510,0.000000000,0.011150189,0.003624000,-0.005638528,0.017393536,2.246738834,0.000000000,2.239402890,-0.006294000,-0.004725250,-0.035047865,0.331494560,0.000000000,0.346838269,0.319485992,0.251742348,0.288095099,2.217586192,0.000000000,2.231247407,-0.374798000,-0.357182513,-0.383058914,-0.692154796,0.000000000,-0.691272796,-0.001756000,-0.002284952,0.019857859,0.006923771,0.000000000,-0.002997327,0.000000000,0.000008548,-0.000268196,0.000562753,0.000000000,0.000605526,0.000000000,0.000807663,-0.001492967,-0.196513176,0.000000000,-0.195804665,0.000000000,0.004704646,0.000684474,-1.353358142,0.000000000,-1.352754175,0.000000000,0.012152050,-0.003351220,-0.744680109,0.000000000,-0.743763798,0.000000000,0.006570919,-0.011258017,-0.632270441,0.000000000,-0.632083371,0.000000000,0.000003084,0.000014462,-0.000368202,0.000000000,-0.000352819
0.015998558,-0.003624000,-0.003558801,-0.003376483,0.011150189,0.000000000,0.012144292,0.003624000,-0.005603916,0.017306101,2.239402890,0.000000000,2.231542242,-0.006294000,-0.004794984,-0.034867617,0.346838269,0.000000000,0.362582909,0.320248991,0.252318188,0.287919776,2.231247407,0.000000000,2.244315535,-0.375560999,-0.357949050,-0.383268706,-0.691272796,0.000000000,-0.690318754,-0.001756000,-0.002244394,0.020279094,-0.002997327,0.000000000,-0.008293911,0.000000000,0.000008389,-0.000273549,0.000605526,0.000000000,0.000652704,0.000000000,0.000804691,-0.001485982,-0.195804665,0.000000000,-0.195118103,0.000000000,0.004705915,0.000634604,-1.352754175,0.000000000,-1.351986756,0.000000000,0.012145246,-0.003401915,-0.743763798,0.000000000,-0.742973693,0.000000000,0.006549871,-0.010524015,-0.632083371,0.000000000,-0.632042919,0.000000000,0.000003097,0.000008463,-0.000352819,0.000000000,-0.000337095
0.017998378,-0.003624000,-0.003565616,-0.003407817,0.012144292,0.000000000,0.013047965,0.003624000,-0.005569456,0.017229828,2.231542242,0.000000000,2.223472491,-0.006294000,-0.004864382,-0.034699037,0.362582909,0.000000000,0.378495630,0.321011990,0.252893809,0.287810666,2.244315535,0.000000000,2.256926808,-0.376323014,-0.358715989,-0.383469461,-0.690318754,0.000000000,-0.689250431,-0.001757000,-0.002204736,0.019829030,-0.008293911,0.000000000,-0.011123486,0.000000000,0.000008261,-0.000279696,0.000652704,0.000000000,0.000701089,0.000000000,0.000801736,-0.001478172,-0.195118103,0.000000000,-0.194454621,0.000000000,0.004707073,0.000579715,-1.351986756,0.000000000,-1.351074617,0.000000000,0.012138375,-0.003435574,-0.742973693,0.000000000,-0.742300433,0.000000000,0.006530267,-0.009801929,-0.632042919,0.000000000,-0.632114547,0.000000000,0.000003101,0.000002534,-0.000337095,0.000000000,-0.000320638
