time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,acc_leg_l1_joint,cmd_torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,acc_leg_l2_joint,cmd_torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,acc_leg_l3_joint,cmd_torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,acc_leg_l4_joint,cmd_torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,acc_leg_l5_joint,cmd_torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,acc_leg_l6_joint,cmd_torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,acc_leg_r1_joint,cmd_torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,acc_leg_r2_joint,cmd_torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,acc_leg_r3_joint,cmd_torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,acc_leg_r4_joint,cmd_torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,acc_leg_r5_joint,cmd_torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint,acc_leg_r6_joint,cmd_torque_leg_r6_joint
0.000000000,0.000000000,0.000089758,-0.001411953,-0.001703151,0.000000000,-0.001582880,0.000000000,-0.009016171,0.029310771,1.898229768,0.000000000,1.899821117,0.000000000,0.008616199,-0.031107613,-1.746032421,0.000000000,-1.745488293,0.000000000,0.001737070,-0.003737045,-0.083627229,0.000000000,-0.083159101,0.000000000,0.006828508,-0.016631666,-0.642899951,0.000000000,-0.642839357,0.000000000,0.000038677,0.000038312,-0.004031551,0.000000000,-0.004017778,0.000000000,-0.000017225,0.000244135,0.000452621,0.000000000,0.000455453,-0.000000000,0.000868562,-0.001996645,-0.201635982,0.000000000,-0.201722361,0.000000000,0.006604302,-0.026399690,-1.277961930,0.000000000,-1.280105249,0.000000000,0.012461853,-0.008373657,-0.726876657,0.000000000,-0.727633001,0.000000000,0.006793271,-0.016494809,-0.639618891,0.000000000,-0.639667245,0.000000000,0.000004070,0.000015704,-0.000455501,0.000000000,-0.000455999
0.002000000,0.000000000,0.000086940,-0.001413319,-0.001582880,0.000000000,-0.001274769,0.000000000,-0.008957539,0.029315881,1.899821117,0.000000000,1.883039745,0.000000000,0.008553954,-0.031122634,-1.745488293,0.000000000,-1.727455635,0.000000000,0.001729493,-0.003788268,-0.083159101,0.000000000,-0.082316435,0.000000000,0.006795249,-0.016629719,-0.642839357,0.000000000,-0.639483527,0.000000000,0.000038753,0.000037985,-0.004017778,0.000000000,-0.004024525,0.000000000,-0.000016793,0.000245447,0.000455453,0.000000000,0.000401961,-0.000000000,0.000864569,-0.001997181,-0.201722361,0.000000000,-0.200575103,0.000000000,0.006551452,-0.026430238,-1.280105249,0.000000000,-1.264391957,0.000000000,0.012445026,-0.008413295,-0.727633001,0.000000000,-0.726288402,0.000000000,0.006760274,-0.016498780,-0.639667245,0.000000000,-0.636321054,0.000000000,0.000004098,0.000015681,-0.000455999,0.000000000,-0.000458733
0.004000000,0.000000000,0.000084095,-0.001426723,-0.001274769,0.000000000,-0.000895776,0.000000000,-0.008898931,0.029303875,1.883039745,0.000000000,1.866652342,0.000000000,0.008491790,-0.031081635,-1.727455635,0.000000000,-1.710713397,0.000000000,0.001721550,-0.003971607,-0.082316435,0.000000000,-0.080511531,0.000000000,0.006762614,-0.016317491,-0.639483527,0.000000000,-0.637072935,0.000000000,0.000038952,0.000099522,-0.004024525,0.000000000,-0.004219590,0.000000000,-0.000016323,0.000268257,0.000401961,0.000000000,0.000222862,-0.000000000,0.000860597,-0.001985970,-0.200575103,0.000000000,-0.199699882,0.000000000,0.006498720,-0.026371463,-1.264391957,0.000000000,-1.250732393,0.000000000,0.012427672,-0.008677081,-0.726288402,0.000000000,-0.723317237,0.000000000,0.006728162,-0.016055672,-0.636321054,0.000000000,-0.634335477,0.000000000,0.000004115,0.000009527,-0.000458733,0.000000000,-0.000442927
0.006000000,0.000000000,0.000081207,-0.001449136,-0.000895776,0.000000000,-0.000461142,0.000000000,-0.008840381,0.029275052,1.866652342,0.000000000,1.850661718,0.000000000,0.008429794,-0.030998017,-1.710713397,0.000000000,-1.694982694,0.000000000,0.001713050,-0.004250005,-0.080511531,0.000000000,-0.077995776,0.000000000,0.006731031,-0.015791212,-0.637072935,0.000000000,-0.635377269,0.000000000,0.000039325,0.000186899,-0.004219590,0.000000000,-0.004505779,0.000000000,-0.000015800,0.000300836,0.000222862,0.000000000,-0.000017086,-0.000001000,0.000856643,-0.001977403,-0.199699882,0.000000000,-0.199053954,0.000000000,0.006446188,-0.026270605,-1.250732393,0.000000000,-1.238082000,0.000000000,0.012409593,-0.009039696,-0.723317237,0.000000000,-0.719597780,0.000000000,0.006697373,-0.015394824,-0.634335477,0.000000000,-0.633102514,0.000000000,0.000004120,0.000003290,-0.000442927,0.000000000,-0.000425758
0.008000000,0.000000000,0.000078261,-0.001478123,-0.000461142,0.000000000,0.000016754,0.000000000,-0.008781920,0.029230382,1.850661718,0.000000000,1.835054942,0.000000000,0.008368035,-0.030879575,-1.694982694,0.000000000,-1.680107014,0.000000000,0.001703856,-0.004597177,-0.077995776,0.000000000,-0.074947312,0.000000000,0.006700792,-0.015119551,-0.635377269,0.000000000,-0.634230687,0.000000000,0.000039891,0.000282996,-0.004505779,0.000000000,-0.004836182,0.000000000,-0.000015223,0.000335987,-0.000017086,0.000000000,-0.000277359,-0.000002000,0.000852699,-0.001972348,-0.199053954,0.000000000,-0.198331467,0.000000000,0.006393909,-0.026144945,-1.238082000,0.000000000,-1.226064022,0.000000000,0.012390699,-0.009446892,-0.719597780,0.000000000,-0.715510009,0.000000000,0.006668121,-0.014625985,-0.633102514,0.000000000,-0.632331974,0.000000000,0.000004117,-0.000001857,-0.000425758,0.000000000,-0.000410766
0.010000000,0.000000000,0.000075249,-0.001511877,0.000016754,0.000000000,0.000528686,0.000000000,-0.008723579,0.029170577,1.835054942,0.000000000,1.819824493,0.000000000,0.008306570,-0.030732820,-1.680107014,0.000000000,-1.665955176,0.000000000,0.001693871,-0.004992399,-0.074947312,0.000000000,-0.071507383,0.000000000,0.006672080,-0.014356136,-0.634230687,0.000000000,-0.633499271,0.000000000,0.000040648,0.000378221,-0.004836182,0.000000000,-0.005183354,0.000000000,-0.000014597,0.000370258,-0.000277359,0.000000000,-0.000537907,-0.000004000,0.000848763,-0.001968658,-0.198331467,0.000000000,-0.197864432,0.000000000,0.006341913,-0.026003030,-1.226064022,0.000000000,-1.214494415,0.000000000,0.012370960,-0.009869542,-0.715510009,0.000000000,-0.711258990,0.000000000,0.006640502,-0.013809611,-0.632331974,0.000000000,-0.631861588,0.000000000,0.000004104,-0.000007039,-0.000410766,0.000000000,-0.000394746
0.012000000,0.000000000,0.000072164,-0.001549008,0.000528686,0.000000000,0.001067494,0.000000000,-0.008665387,0.029096173,1.819824493,0.000000000,1.804966536,0.000000000,0.008245444,-0.030562877,-1.665955176,0.000000000,-1.652424432,0.000000000,0.001683031,-0.005419708,-0.071507383,0.000000000,-0.067785400,0.000000000,0.006644996,-0.013541668,-0.633499271,0.000000000,-0.633077623,0.000000000,0.000041583,0.000467795,-0.005183354,0.000000000,-0.005532563,0.000000000,-0.000013930,0.000401984,-0.000537907,0.000000000,-0.000788401,-0.000007000,0.000844833,-0.001965244,-0.197864432,0.000000000,-0.197677359,0.000000000,0.006290223,-0.025849711,-1.214494415,0.000000000,-1.203269928,0.000000000,0.012350378,-0.010290814,-0.711258990,0.000000000,-0.706964548,0.000000000,0.006614536,-0.012982756,-0.631861588,0.000000000,-0.631588132,0.000000000,0.000004085,-0.000010806,-0.000394746,0.000000000,-0.000382079
0.014000000,0.000000000,0.000069002,-0.001588439,0.001067494,0.000000000,0.001627552,0.000000000,-0.008607372,0.029007620,1.804966536,0.000000000,1.790478994,0.000000000,0.008184696,-0.030373755,-1.652424432,0.000000000,-1.639435015,0.000000000,0.001671298,-0.005866882,-0.067785400,0.000000000,-0.063865725,0.000000000,0.006619583,-0.012706637,-0.633077623,0.000000000,-0.632883225,0.000000000,0.000042682,0.000549591,-0.005532563,0.000000000,-0.005876194,0.000000000,-0.000013233,0.000430512,-0.000788401,0.000000000,-0.001024027,-0.000012000,0.000840910,-0.001961802,-0.197677359,0.000000000,-0.198061350,0.000000000,0.006238858,-0.025687991,-1.203269928,0.000000000,-1.192327409,0.000000000,0.012328977,-0.010700771,-0.706964548,0.000000000,-0.702698748,0.000000000,0.006590198,-0.012169109,-0.631588132,0.000000000,-0.631441589,0.000000000,0.000004062,-0.000012722,-0.000382079,0.000000000,-0.000374336
0.016000000,0.000000000,0.000065760,-0.001629327,0.001627552,0.000000000,0.002204360,0.000000000,-0.008549561,0.028905296,1.790478994,0.000000000,1.776361087,0.000000000,0.008124359,-0.030168591,-1.639435015,0.000000000,-1.626925072,0.000000000,0.001658649,-0.006324605,-0.063865725,0.000000000,-0.059813247,0.000000000,0.006595836,-0.011873549,-0.632883225,0.000000000,-0.632851693,0.000000000,0.000043928,0.000622909,-0.005876194,0.000000000,-0.006210543,0.000000000,-0.000012517,0.000455827,-0.001024027,0.000000000,-0.001243476,-0.000018000,0.000836993,-0.001958887,-0.198061350,0.000000000,-0.198719335,0.000000000,0.006187829,-0.025519665,-1.192327409,0.000000000,-1.181630040,0.000000000,0.012306789,-0.011093916,-0.702698748,0.000000000,-0.698502777,0.000000000,0.006567431,-0.011383426,-0.631441589,0.000000000,-0.631374354,0.000000000,0.000004041,-0.000011360,-0.000374336,0.000000000,-0.000376157
0.018000000,0.000000000,0.000062437,-0.001671009,0.002204360,0.000000000,0.002794315,0.000000000,-0.008491982,0.028789576,1.776361087,0.000000000,1.762611970,0.000000000,0.008064459,-0.029949849,-1.626925072,0.000000000,-1.614846614,0.000000000,0.001645077,-0.006785805,-0.059813247,0.000000000,-0.055677783,0.000000000,0.006573719,-0.011058708,-0.632851693,0.000000000,-0.632932988,0.000000000,0.000045304,0.000687755,-0.006210543,0.000000000,-0.006533910,0.000000000,-0.000011796,0.000478217,-0.001243476,0.000000000,-0.001447009,-0.000025000,0.000833080,-0.001956603,-0.198719335,0.000000000,-0.199648593,0.000000000,0.006137148,-0.025345683,-1.181630040,0.000000000,-1.171159535,0.000000000,0.012283854,-0.011467604,-0.698502777,0.000000000,-0.694397903,0.000000000,0.006546163,-0.010634122,-0.631374354,0.000000000,-0.631355149,0.000000000,0.000004027,-0.000007917,-0.000376157,0.000000000,-0.000384506
