time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,0.015830994,-0.013187408,-1.431740570,0.000000000,-0.007438660,0.013187408,1.120880127,-0.006823000,-0.005912781,-0.065933228,-0.373617554,0.424885005,0.314526558,0.391208649,4.322357178,-0.396259993,-0.369268478,-0.382253536,-1.884341145,0.000000000,-0.001313580,-0.101552259,-0.086622384,0.000000000,0.020027161,-0.039560318,-2.092541504,-0.435999990,-0.361066818,-0.373626709,-13.674737549,0.000000000,0.008201599,-0.074726105,-1.569232178,0.000000000,0.062752724,0.004396439,-3.296691895,0.000000000,-0.005093351,0.162428995,0.594897611,0.000000000,0.002750260,-0.254364440,-0.240336184
0.001999820,-0.000031000,0.015830994,0.013187408,-1.872295380,0.000016000,-0.007057190,0.030769348,0.821969604,-0.006821000,-0.005912781,0.065933228,-0.074734497,0.424870014,0.315670967,0.443956375,4.029296875,-0.396315992,-0.369840339,-0.360265840,-1.586870801,0.000000000,-0.001753756,-0.111750336,0.042230469,0.000000000,0.020027161,0.013187408,-2.092541504,-0.435999990,-0.361829758,-0.347251892,-15.767028809,0.000000000,0.008201599,-0.048351288,-1.120880127,0.000000000,0.062752724,-0.013187408,-3.589752197,0.000000000,-0.004522312,0.153680101,0.396602787,0.000000000,0.001568358,-0.326877627,-0.240174985
0.003999639,-0.000061000,0.015830994,0.021978378,-1.652017975,0.000031000,-0.007057190,0.039560318,0.971438599,-0.006816000,-0.005912781,0.013187408,-0.224176025,0.424854010,0.316433907,0.426374435,3.882781982,-0.396375000,-0.370603034,-0.382250062,-1.388565136,0.000000000,-0.001754101,-0.081359446,0.128237861,0.000000000,0.020027161,-0.004396439,-2.092541504,-0.435999990,-0.362592697,-0.443956375,-14.870324707,0.000000000,0.008201599,-0.048351288,-2.465936279,0.000000000,0.062752724,-0.004396439,-3.296691895,0.000000000,-0.004331899,0.136136555,0.297469428,0.000000000,0.001174485,-0.308678734,-0.192122297
0.005999459,-0.000091000,0.015830994,0.013187408,-1.431740570,0.000045000,-0.007057190,-0.013187408,2.167025757,-0.006810000,-0.005912781,-0.065933228,0.074734497,0.424836993,0.317196846,0.338460922,4.029296875,-0.396436006,-0.371365730,-0.382269980,-1.289459757,0.000000000,-0.001754446,-0.040793912,0.257109924,0.000000000,0.020027161,0.013187408,-2.312818909,-0.435999990,-0.363355637,-0.391208649,-13.375827026,0.000000000,0.008201599,0.013187408,-0.971438599,0.000000000,0.062752724,0.004396439,-3.296691895,0.000000000,-0.004141753,0.127426303,0.396740579,0.000000000,-0.000006814,-0.326762137,0.048012671
0.007999279,-0.000120000,0.015830994,-0.013187408,-1.211463165,0.000057000,-0.007057190,0.030769348,0.821969604,-0.006802000,-0.005912781,0.057142258,-0.373617554,0.424820006,0.317578316,0.285715103,3.736267090,-0.396499991,-0.372128426,-0.404263753,-1.388729695,0.000000000,-0.001754792,0.009924944,0.385836776,0.000000000,0.020027161,0.013187408,-1.652017975,-0.435999990,-0.364118576,-0.294506073,-14.870324707,0.000000000,0.007820129,-0.021978378,-1.419790649,0.000000000,0.062752724,0.004396439,-3.443237305,0.000000000,-0.003951208,0.118660329,0.595082506,0.000000000,-0.000400544,-0.272270657,0.144096142
0.009999099,-0.000148000,0.015830994,-0.021978378,-1.431740570,0.000069000,-0.007057190,0.074726105,0.224176025,-0.006792000,-0.005912781,0.021978378,-0.523086548,0.424802989,0.318341255,0.259340286,3.589752197,-0.396566004,-0.372891122,-0.426230916,-1.388729813,0.000000000,-0.001755137,-0.000235483,0.385743628,0.000000000,0.020027161,0.004396439,-1.652017975,-0.435999990,-0.364881516,-0.338460922,-15.318676758,0.000000000,0.007820129,-0.013187408,-2.316494751,0.000000000,0.062752724,0.004396439,-3.589752197,0.000000000,-0.003760629,0.118674880,0.594996810,0.000000000,-0.000794227,-0.217785797,0.336238275
0.011998918,-0.000176000,0.015830994,0.021978378,-1.872295380,0.000079000,-0.007057190,-0.004396439,1.718673706,-0.006781000,-0.005912781,-0.048351288,-0.373617554,0.424784988,0.318722725,0.259340286,4.175811768,-0.396634012,-0.373844281,-0.426265571,-1.487989985,0.000000000,-0.002196122,0.060629508,0.428323443,0.000000000,0.020027161,0.013187408,-2.092541504,-0.435999990,-0.365262985,-0.356044769,-14.870324707,0.000000000,0.007820129,-0.004396439,-0.971438599,0.000000000,0.062752724,-0.004396439,-3.296691895,0.000000000,-0.003379372,0.109910349,0.396556676,0.000000000,-0.001581451,-0.181436140,0.336311817
0.013998738,-0.000202000,0.015830994,-0.004396439,-1.431740570,0.000089000,-0.007057190,-0.048351288,0.971438599,-0.006769000,-0.005912781,-0.004396439,-0.074734497,0.424766988,0.319104195,0.232967377,4.322357178,-0.396703988,-0.374797863,-0.426268051,-1.289624731,0.000000000,-0.001756003,0.081020092,0.514274834,0.000000000,0.020027161,0.004396439,-1.872295380,-0.435999990,-0.366025925,-0.408790588,-13.375827026,0.000000000,0.007820129,0.030769348,-1.270321655,0.000000000,0.062752724,-0.004396439,-3.150177002,0.000000000,-0.002998080,0.109904229,0.297307576,0.000000000,-0.001581302,-0.163268569,0.480406707
0.015998558,-0.000228000,0.015830994,-0.021978378,-1.652017975,0.000097000,-0.007057190,0.030769348,0.821969604,-0.006755000,-0.005912781,-0.004396439,-1.120880127,0.424748003,0.319867134,0.294506073,3.736267090,-0.396777004,-0.375560560,-0.413090816,-1.785436592,0.000000000,-0.001756351,0.091205966,0.385231271,0.000000000,0.020027161,-0.013187408,-1.652017975,-0.435999990,-0.366788864,-0.338460922,-14.272531128,0.000000000,0.007820129,-0.004396439,-1.419790649,0.000000000,0.062752724,0.004396439,-3.589752197,0.000000000,-0.002998080,0.079124940,0.396464112,0.000000000,-0.001581302,-0.099769035,0.528469543
0.017998378,-0.000252000,0.015830994,-0.013187408,-1.652017975,0.000104000,-0.006675720,0.013187408,0.971438599,-0.006740000,-0.005912781,0.004396439,-0.821969604,0.424728990,0.320248604,0.312088013,3.736267090,-0.396851003,-0.376323257,-0.391105532,-1.686236384,0.000000000,-0.001756699,0.060753014,0.342299355,0.000000000,0.020027161,-0.013187408,-2.092541504,-0.435999990,-0.367551804,-0.391208649,-14.421972656,0.000000000,0.007820129,-0.039560318,-1.718673706,0.000000000,0.062752724,-0.004396439,-3.150177002,0.000000000,-0.002807402,0.065925083,-0.000318285,0.000000000,-0.001974797,-0.036252871,0.528368565
0.019998197,-0.000276000,0.015830994,0.021978378,-1.431740570,0.000111000,-0.006675720,0.004396439,0.672528076,-0.006724000,-0.005912781,0.048351288,-0.224176025,0.424708992,0.321011543,0.399999619,4.175811768,-0.396926999,-0.377085954,-0.382307975,-1.884589709,0.000000000,-0.001757047,0.040444354,0.342123193,0.000000000,0.020027161,-0.030769348,-2.312818909,-0.435999990,-0.368314743,-0.417581558,-14.272531128,0.000000000,0.007820129,0.039560318,-1.718673706,0.000000000,0.062752724,0.013187408,-3.589752197,0.000000000,-0.002807402,0.043958588,0.198041126,0.000000000,-0.001974797,-0.045336788,0.528451500
0.021998017,-0.000298000,0.015830994,0.021978378,-1.431740570,0.000116000,-0.006675720,0.004396439,0.971438599,-0.006707000,-0.005912781,-0.004396439,-1.120880127,0.424688995,0.321774483,0.452747345,3.296691895,-0.397004992,-0.377658137,-0.369103326,-1.785311960,0.000000000,-0.001316230,-0.010319051,0.213716832,0.000000000,0.020027161,-0.004396439,-2.092541504,-0.435999990,-0.369077682,-0.356044769,-13.375827026,0.000000000,0.007820129,-0.004396439,-1.419790649,0.000000000,0.062752724,0.004396439,-3.589752197,0.000000000,-0.002616691,0.065908930,-0.000312515,0.000000000,-0.002368246,0.000047643,0.432329480
0.023997837,-0.000319000,0.015830994,0.013187408,-1.431740570,0.000121000,-0.006675720,0.039560318,0.821969604,-0.006690000,-0.005912781,-0.013187408,-0.074734497,0.424668998,0.322918892,0.443956375,3.589752197,-0.397085011,-0.378801813,-0.355887885,-1.586937230,0.000000000,-0.002199072,-0.061266807,0.127621236,0.000000000,0.020027161,0.013187408,-2.312818909,-0.435999990,-0.369459152,-0.303297043,-12.479122925,0.000000000,0.007438660,-0.004396439,-1.419790649,0.000000000,0.062752724,-0.004396439,-3.589752197,0.000000000,-0.002426109,0.052694183,-0.099469098,0.000000000,-0.001974602,0.081678066,0.480350644
0.025997657,-0.000339000,0.015830994,0.013187408,-1.431740570,0.000124000,-0.006675720,0.039560318,0.821969604,-0.006671000,-0.005912781,-0.013187408,-0.074734497,0.424647987,0.322918892,0.443956375,3.589752197,-0.397166014,-0.378801813,-0.355887885,-1.586937230,0.000000000,-0.002199072,-0.061266807,0.127621236,0.000000000,0.020027161,0.013187408,-2.312818909,-0.435999990,-0.369459152,-0.303297043,-12.479122925,0.000000000,0.007438660,-0.004396439,-1.419790649,0.000000000,0.062752724,-0.004396439,-3.589752197,0.000000000,-0.002426109,0.052694183,-0.099469098,0.000000000,-0.001974602,0.081678066,0.480350644
0.027997476,-0.000357000,0.015830994,0.021978378,-1.431740570,0.000127000,-0.006294250,-0.039560318,1.120880127,-0.006653000,-0.005912781,-0.013187408,-0.074734497,0.424627006,0.325589180,0.285715103,4.029296875,-0.397249013,-0.380136922,-0.325196201,-1.190153486,0.000000000,0.000890071,-0.132170490,-0.042553068,0.000000000,0.020027161,-0.004396439,-2.092541504,-0.435999990,-0.373273849,-0.356044769,-11.134066772,0.000000000,0.007438660,-0.048351288,-0.672528076,0.000000000,0.062752724,-0.004396439,-3.589752197,0.000000000,-0.002044845,0.043920106,-0.198446211,0.000000000,-0.001187449,0.081652980,0.240178762
0.029997296,-0.000374000,0.015830994,0.021978378,-1.652017975,0.000129000,-0.006294250,0.065933228,0.074734497,-0.006634000,-0.005912781,-0.004396439,-1.270321655,0.424605995,0.326352119,0.312088013,3.589752197,-0.397332996,-0.382424368,-0.289961258,-1.190177657,0.000000000,-0.002642992,-0.071513543,0.041960269,0.000000000,0.020027161,-0.004396439,-1.872295380,-0.435999990,-0.374036789,-0.338460922,-11.432977295,0.000000000,0.007438660,-0.021978378,-0.672528076,0.000000000,0.062752724,0.004396439,-3.003662109,0.000000000,-0.001854164,0.048315283,-0.198417259,0.000000000,-0.000793940,0.108856299,0.240208839
