time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,-0.004768372,-0.004396439,1.211463165,0.000000000,0.003623962,-0.004396439,-1.120880127,-0.006823000,-0.005912781,0.074726105,-1.120880127,0.424885005,0.318722725,0.232967377,3.736267090,-0.396259993,-0.369268105,-0.360264602,-1.686023757,0.000000000,-0.002193417,-0.091502242,-0.000985880,0.000000000,0.019645691,-0.004396439,-1.431740570,0.000000000,0.001716614,-0.039560318,-0.672528076,0.000000000,0.007820129,0.021978378,-1.868142700,0.000000000,0.055123329,0.004396439,-3.150177002,0.000000000,0.003865715,-0.004390880,-0.297561592,0.000000000,0.000778025,0.018111550,0.000049011
0.001999820,-0.000031000,-0.004768372,-0.004396439,0.550662231,0.000016000,0.003623962,-0.004396439,-0.971438599,-0.006821000,-0.005912781,-0.030769348,-0.373617554,0.424870014,0.319104195,0.241758347,3.589752197,-0.396315992,-0.370030800,-0.347100333,-1.686142390,0.000000000,-0.002193867,-0.061090676,0.170894454,0.000000000,0.019645691,0.004396439,-1.652017975,0.000000000,0.001716614,-0.013187408,-1.270321655,0.000000000,0.007820129,0.021978378,-1.868142700,0.000000000,0.055123329,-0.021978378,-3.150177002,0.000000000,0.003865715,-0.004390880,-0.396753011,0.000000000,0.000778025,0.018111550,-0.048064744
0.003999639,-0.000061000,-0.004768372,-0.004396439,0.550662231,0.000031000,0.003623962,0.057142258,-2.167025757,-0.006816000,-0.006294250,-0.030769348,-0.373617554,0.424854010,0.319867134,0.259340286,3.736267090,-0.396375000,-0.370793496,-0.364712891,-1.388583119,0.000000000,-0.002194317,-0.000251728,0.128066990,0.000000000,0.019645691,0.021978378,-2.092541504,0.000000000,0.001716614,0.013187408,-0.672528076,0.000000000,0.007820129,-0.013187408,-2.167025757,0.000000000,0.055123329,-0.004396439,-3.150177002,0.000000000,0.003865715,0.008792200,-0.396753011,0.000000000,0.000778025,0.027162636,-0.048064744
0.005999459,-0.000091000,-0.004768372,0.004396439,0.991217041,0.000045000,0.003623962,0.013187408,-1.270321655,-0.006810000,-0.005912781,0.039560318,-0.523086548,0.424836993,0.320248604,0.285715103,3.882781982,-0.396436006,-0.371556192,-0.364735691,-1.289495602,0.000000000,-0.002194768,0.040335826,0.256942458,0.000000000,0.019645691,-0.021978378,-2.092541504,0.000000000,0.001716614,0.030769348,-0.224176025,0.000000000,0.007820129,-0.092308044,-1.270321655,0.000000000,0.055123329,-0.021978378,-3.150177002,0.000000000,0.003865715,0.004394816,-0.396753011,0.000000000,0.000778025,-0.000001059,-0.048064744
0.007999279,-0.000120000,-0.004768372,-0.021978378,0.770939636,0.000057000,0.003623962,-0.004396439,-0.971438599,-0.006802000,-0.005912781,-0.004396439,-0.523086548,0.424820006,0.321011543,0.347251892,3.882781982,-0.396499991,-0.372318888,-0.404289586,-1.388783435,0.000000000,-0.002195218,0.050466923,0.385649452,0.000000000,0.019645691,0.030769348,-1.652017975,0.000000000,0.001716614,0.021978378,-0.821969604,0.000000000,0.007820129,-0.048351288,-2.167025757,0.000000000,0.055123329,-0.021978378,-3.150177002,0.000000000,0.003865715,0.008787187,-0.495921232,0.000000000,0.000778025,-0.009056381,0.000081682
0.009999099,-0.000148000,-0.004768372,0.030769348,0.991217041,0.000069000,0.003623962,-0.030769348,-2.017584229,-0.006792000,-0.006294250,-0.092308044,-0.074734497,0.424802989,0.321774483,0.408790588,3.150177002,-0.396566004,-0.373081584,-0.408701445,-1.388783572,0.000000000,-0.002195670,0.080929674,0.385556219,0.000000000,0.019645691,0.021978378,-1.431740570,0.000000000,0.001716614,-0.013187408,-0.672528076,0.000000000,0.007820129,0.004396439,-1.868142700,0.000000000,0.055123329,-0.021978378,-3.150177002,0.000000000,0.003865715,-0.004394816,-0.495921232,0.000000000,0.000778025,0.000001059,0.000081682
0.011998918,-0.000176000,-0.004768372,0.013187408,0.770939636,0.000079000,0.003623962,0.039560318,-0.672528076,-0.006781000,-0.005912781,0.039560318,-0.971438599,0.424784988,0.322537422,0.399999619,4.322357178,-0.396634012,-0.374225050,-0.421910648,-1.587161364,0.000000000,-0.003077561,0.090987895,0.299098468,0.000000000,0.019645691,0.030769348,-1.872295380,0.000000000,0.001716614,0.021978378,-0.523086548,0.000000000,0.007438660,-0.030769348,-1.419790649,0.000000000,0.055123329,-0.021978378,-3.150177002,0.000000000,0.003865715,0.000001492,-0.495921232,0.000000000,0.000778025,0.009056228,0.000081682
0.013998738,-0.000202000,-0.004768372,-0.048351288,0.550662231,0.000089000,0.003623962,-0.030769348,-0.373617554,-0.006769000,-0.005912781,0.039560318,-0.971438599,0.424766988,0.323681831,0.320878983,3.736267090,-0.396703988,-0.374988697,-0.413072992,-1.686188357,0.000000000,-0.001315382,0.070932117,0.342643598,0.000000000,0.019645691,0.021978378,-2.092541504,0.000000000,0.001716614,0.004396439,-0.672528076,0.000000000,0.007438660,-0.039560318,-1.270321655,0.000000000,0.055123329,-0.013187408,-3.003662109,0.000000000,0.003865715,0.004396846,-0.297561592,0.000000000,0.000778025,0.018109432,0.000049011
0.015998558,-0.000228000,-0.004768372,0.021978378,0.550662231,0.000097000,0.003623962,-0.057142258,-1.569232178,-0.006755000,-0.005912781,-0.004396439,0.224176025,0.424748003,0.324063301,0.268131256,3.736267090,-0.396777004,-0.375941909,-0.391124618,-1.587035981,0.000000000,-0.001756525,0.101391651,0.299497021,0.000000000,0.019645691,0.030769348,-1.872295380,0.000000000,0.001716614,0.065933228,-0.523086548,0.000000000,0.007438660,0.004396439,-1.868142700,0.000000000,0.055123329,-0.004396439,-3.150177002,0.000000000,0.003865715,0.004394816,-0.495921232,0.000000000,0.000778025,-0.000001059,0.000081682
0.017998378,-0.000252000,-0.004768372,0.013187408,0.550662231,0.000104000,0.003623962,0.021978378,-2.167025757,-0.006740000,-0.005912781,0.057142258,-0.523086548,0.424728990,0.324444771,0.250549316,3.736267090,-0.396851003,-0.376704606,-0.369129785,-1.983742484,0.000000000,-0.001756873,0.050611848,0.299238038,0.000000000,0.019645691,-0.004396439,-1.872295380,0.000000000,0.001716614,-0.013187408,-0.373617554,0.000000000,0.007438660,0.004396439,-1.569232178,0.000000000,0.055123329,-0.004396439,-3.003662109,0.000000000,0.003865715,0.004394816,-0.297584790,0.000000000,0.000778025,-0.000001059,-0.096211171
