time,leg_l1_joint,leg_l2_joint,leg_l3_joint,leg_l4_joint,leg_l5_joint,leg_l6_joint,leg_r1_joint,leg_r2_joint,leg_r3_joint,leg_r4_joint,leg_r5_joint,leg_r6_joint
0,0.991217041,0.821969604,0.224176025,3.73626709,-1.785176479,-0.043818085,-0.550662231,-0.971438599,3.063729858,3.150177002,-1.884373372,0.088792201
0.00199982,0.991217041,0.224176025,-0.971438599,3.443237305,-1.586918184,0.128176296,-0.330416107,-0.373617554,3.810992432,3.589752197,-1.58684418,0.044390958
0.003999639,-0.110138702,0.523086548,-0.523086548,3.882781982,-1.586965662,0.214070215,-0.330416107,-0.971438599,3.362640381,3.882781982,-1.586849806,-0.044210823
0.005999459,0.770939636,-0.074734497,-0.373617554,4.175811768,-1.388612621,0.214111192,-0.330416107,-0.672528076,3.362640381,3.73626709,-1.686043375,-0.088384253
0.007999279,0.550662231,0.074734497,-0.523086548,3.73626709,-1.388701958,0.299761367,-0.991217041,-1.120880127,2.91428833,4.029296875,-1.487736487,-0.176984857
0.009999099,0.550662231,-0.523086548,-0.672528076,3.296691895,-1.388702076,0.299688769,-0.330416107,-0.224176025,3.512081909,3.443237305,-1.289349396,-0.088293697
0.011998918,0.770939636,-0.074734497,-1.419790649,4.322357178,-1.388783709,0.385462975,-0.330416107,-0.074734497,3.661550903,3.443237305,-1.388508605,-0.043898791
0.013998738,0.110138702,-0.971438599,0.224176025,3.443237305,-1.388777582,0.471322431,-0.110138702,-1.569232178,4.109902954,3.150177002,-1.586861347,-0.043823433
0.015998558,0.110138702,-0.074734497,-0.672528076,3.73626709,-1.487883077,0.342475422,-0.991217041,-0.523086548,3.362640381,3.003662109,-1.388508579,-0.043877679
0.017998378,0.550662231,-0.074734497,-0.523086548,3.589752197,-1.686236384,0.342299355,-0.770939636,0.523086548,3.512081909,3.296691895,-1.19019017,-0.132590171
0.019998197,0.550662231,-0.672528076,0.224176025,3.443237305,-1.78531186,0.213768735,-0.770939636,-1.270321655,3.96043396,3.443237305,-1.487667673,0.000324621
0.021998017,0.770939636,0.074734497,-1.120880127,3.443237305,-1.686095435,0.170874941,-0.550662231,0.523086548,3.213198853,3.443237305,-1.686031732,-0.088428198
0.023997837,0.770939636,-0.224176025,0.074734497,3.443237305,-1.388547928,0.12808132,-0.330416107,-0.821969604,4.408786011,3.589752197,-1.785196627,-0.044298372
0.025997657,0.770939636,-0.224176025,-0.971438599,3.882781982,-1.586919208,0.12780068,-0.991217041,-0.821969604,3.96043396,3.589752197,-1.884373022,2.47e-07
0.027997476,0.550662231,-1.270321655,-0.523086548,3.73626709,-1.487718902,0.08497728,-1.211463165,-0.971438599,3.362640381,3.73626709,-1.983555188,0.044064283
0.029997296,0.770939636,0.373617554,-0.373617554,3.589752197,-1.289377783,0.084902688,-0.330416107,-0.373617554,3.362640381,3.589752197,-2.082771031,0.088101147
0.031997116,0.330416107,0.672528076,-0.672528076,3.589752197,-1.289318307,-0.000759414,-0.330416107,-0.224176025,3.362640381,3.589752197,-2.08278263,0.087858027
0.033996936,0.330416107,-0.373617554,-0.821969604,3.443237305,-1.091036717,0.084853792,-0.550662231,-1.718673706,3.96043396,3.296691895,-1.884396144,0.08810349
0.035996755,0.770939636,0.373617554,-0.373617554,4.029296875,-1.09108428,0.170577158,-0.110138702,-0.523086548,3.362640381,3.589752197,-1.785231321,0.132367412
0.037996575,0.330416107,-0.672528076,-0.821969604,3.443237305,-1.091084366,0.170535527,-0.550662231,0.373617554,3.512081909,3.003662109,-1.785276549,0.220856728
0.039996395,0.770939636,-0.821969604,0.074734497,3.150177002,-1.190231247,0.127666664,-0.330416107,-0.821969604,4.109902954,3.150177002,-1.884464458,0.265051606
0.041996215,0.550662231,-0.373617554,-0.821969604,3.589752197,-1.190308544,0.298911925,-0.770939636,-2.017584229,3.810992432,3.296691895,-1.785231306,0.13232092
0.043996034,0.770939636,-0.971438599,-0.523086548,3.73626709,-1.09110813,0.256145667,-0.550662231,-0.672528076,3.661550903,3.443237305,-1.686020398,0.17692778
0.045995854,0.550662231,-1.419790649,-0.821969604,3.73626709,-1.091072189,0.256228748,-0.770939636,-0.672528076,2.615377808,3.882781982,-1.586843987,0.132680517
0.047995674,0.770939636,-0.074734497,-0.971438599,3.443237305,-0.991877746,0.213468783,-0.550662231,-0.821969604,3.512081909,3.150177002,-1.289314788,0.000141607
