time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,acc_leg_l1_joint,cmd_torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,acc_leg_l2_joint,cmd_torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,acc_leg_l3_joint,cmd_torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,acc_leg_l4_joint,cmd_torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,acc_leg_l5_joint,cmd_torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,acc_leg_l6_joint,cmd_torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,acc_leg_r1_joint,cmd_torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,acc_leg_r2_joint,cmd_torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,acc_leg_r3_joint,cmd_torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,acc_leg_r4_joint,cmd_torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,acc_leg_r5_joint,cmd_torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint,acc_leg_r6_joint,cmd_torque_leg_r6_joint
0.000000000,0.000000000,0.000146828,0.000808656,0.012788746,0.011631752,-0.020223625,0.000000000,-0.000639776,-0.001625780,0.219201771,0.003538376,0.218626650,-0.006823000,-0.009894789,-0.011789717,1.136338453,0.011886845,1.139812283,0.424885005,0.347799668,0.380071077,2.162141714,-0.042571376,2.167550213,-0.396259993,-0.378060469,-0.411004308,-0.670729164,0.002854224,-0.670849765,0.000000000,0.000012023,-0.000177735,-0.000687890,-0.000049123,-0.000709786,0.000000000,-0.000007939,-0.000293106,0.002646142,-0.034401003,0.002503760,0.000000000,0.000642916,0.001334104,-0.213060645,0.000015402,-0.212921889,0.065402001,0.053208837,0.057192449,2.167036220,-0.045503085,2.172209814,0.276596010,0.223573755,0.241903512,1.625451947,-0.007886476,1.629700646,-0.291951001,-0.276843254,-0.306705190,-0.654803861,0.000041785,-0.654901625,0.000000000,0.000002804,0.000101669,-0.000571184,-0.000013196,-0.000572440
0.001999820,-0.000031000,0.000146796,0.000424771,-0.020223625,-0.018039400,-0.021353713,0.000016000,-0.000643009,-0.001661859,0.218626650,0.032015494,0.224909734,-0.006821000,-0.009918492,-0.011851697,1.139812283,0.009890650,1.148520045,0.424870014,0.348559489,0.379910657,2.167550213,-0.043941228,2.119749489,-0.396315992,-0.378882425,-0.410978031,-0.670849765,0.002639124,-0.593512979,0.000000000,0.000011798,-0.000113704,-0.000709786,-0.000142962,-0.000869058,-0.000017000,-0.000008117,-0.000273325,0.002503760,-0.080210141,0.000598815,-0.000004000,0.000645583,0.001333481,-0.212921889,-0.000093422,-0.214802601,0.065428004,0.053323036,0.057099598,2.172209814,-0.046425616,2.149240647,0.276553988,0.224057386,0.241815629,1.629700646,-0.008086379,1.597122473,-0.291940987,-0.277456697,-0.306721363,-0.654901625,0.000120408,-0.591846035,0.000004000,0.000002960,0.000106947,-0.000572440,-0.000066373,-0.000198900
0.003999639,-0.000061000,0.000146594,-0.000232697,-0.021353713,0.002914159,-0.020812012,0.000031000,-0.000646199,-0.001656031,0.224909734,-0.028629549,0.229948314,-0.006816000,-0.009940619,-0.011064178,1.148520045,0.065090318,1.138417786,0.424854010,0.349313224,0.376867439,2.119749489,-1.090616446,2.092760140,-0.396375000,-0.379688044,-0.402809512,-0.593512979,0.041588311,-0.541279897,0.000000000,0.000011459,-0.000170963,-0.000869058,-0.000601804,-0.000672036,-0.000034000,-0.000008219,-0.000143144,0.000598815,-1.521609243,-0.001938532,-0.000010000,0.000648302,0.001360278,-0.214802601,0.000812882,-0.217887214,0.065458000,0.053438168,0.057565949,2.149240647,0.233175832,2.114492916,0.276510000,0.224536655,0.239634396,1.597122473,3.350598801,1.579575147,-0.291929990,-0.278056737,-0.300020165,-0.591846035,-0.000431292,-0.549143046,0.000007000,0.000003252,0.000190124,-0.000198900,-0.000767073,-0.000161737
0.005999459,-0.000091000,-0.000146342,-0.000987274,-0.020812012,0.002914159,0.011482085,0.000045000,-0.000649422,-0.001676933,0.229948314,-0.028629549,0.235316455,-0.006810000,-0.009960420,-0.009901222,1.138417786,0.065090318,1.119446687,0.424836993,0.350057870,0.372322853,2.092760140,-1.090616446,2.076952622,-0.396436006,-0.380466990,-0.389473212,-0.541279897,0.041588311,-0.506636285,0.000000000,0.000011031,-0.000216286,-0.000672036,-0.000601804,-0.000499908,-0.000051000,-0.000008221,-0.000005734,-0.001938532,-1.521609243,-0.004527444,-0.000016000,0.000651023,0.001361034,-0.217887214,0.000812882,-0.220383242,0.065490000,0.053554672,0.058252239,2.114492916,0.233175832,2.074949939,0.276464999,0.225009470,0.236407672,1.579575147,3.350598801,1.569802804,-0.291918993,-0.278634804,-0.289033331,-0.549143046,-0.000431292,-0.520844891,0.000010000,0.000003731,0.000291017,-0.000161737,-0.000767073,-0.000193780
0.007999279,-0.000120000,-0.000146160,-0.001109279,0.011482085,-0.010451272,0.009061390,0.000057000,-0.000652622,-0.001660481,0.235316455,-0.022661553,0.239265056,-0.006802000,-0.009977596,-0.008588809,1.119446687,0.068704907,1.096917482,0.424820006,0.350791892,0.367011156,2.076952622,-1.613362283,2.067270642,-0.396499991,-0.381212629,-0.372819372,-0.506636285,0.050446777,-0.485091875,0.000000000,0.000010429,-0.000304484,-0.000499908,-0.000911525,-0.000188338,-0.000069000,-0.000008155,0.000090347,-0.004527444,-2.272292754,-0.006996507,-0.000024000,0.000653701,0.001339481,-0.220383242,0.000984125,-0.222930962,0.065523997,0.053672668,0.058998103,2.074949939,0.343144953,2.034202990,0.276419014,0.225474846,0.232687751,1.569802804,5.493417219,1.563943915,-0.291909009,-0.279185424,-0.275309990,-0.520844891,0.001080888,-0.503202930,0.000013000,0.000004421,0.000394657,-0.000193780,-0.002570114,-0.000254927
0.009999099,-0.000148000,-0.000146086,-0.001271113,0.009061390,0.008225808,0.006984105,0.000069000,-0.000655848,-0.001665668,0.239265056,-0.044099108,0.243710089,-0.006792000,-0.009991959,-0.007182011,1.096917482,0.048040859,1.072022234,0.424802989,0.351514301,0.361204383,2.067270642,-1.859960353,2.061839348,-0.396566004,-0.381920764,-0.354067651,-0.485091875,0.051819989,-0.473506839,0.000000000,0.000009875,-0.000280497,-0.000188338,-0.001123442,-0.000200590,-0.000088000,-0.000008077,0.000118930,-0.006996507,-2.655848606,-0.009191716,-0.000033000,0.000656313,0.001306223,-0.222930962,0.001290232,-0.225479317,0.065560997,0.053792108,0.059720195,2.034202990,0.372931960,1.994436691,0.276371002,0.225932430,0.228792102,1.563943915,6.861670516,1.559698234,-0.291898012,-0.279705279,-0.259927540,-0.503202930,0.001579930,-0.493284662,0.000015000,0.000005334,0.000499902,-0.000254927,-0.001294823,-0.000444346
0.011998918,-0.000176000,-0.000146138,-0.001470967,0.006984105,-0.002128691,0.005135314,0.000079000,-0.000659095,-0.001669926,0.243710089,0.006429103,0.247571745,-0.006781000,-0.010003461,-0.005751419,1.072022234,-0.022819795,1.046059767,0.424784988,0.352224652,0.355175604,2.061839348,-1.945522257,2.058685568,-0.396634012,-0.382589135,-0.334185542,-0.473506839,0.041532613,-0.469356073,0.000000000,0.000009348,-0.000267639,-0.000200590,-0.002070735,-0.000183860,-0.000106000,-0.000008038,0.000073290,-0.009191716,-3.014389585,-0.010856426,-0.000043000,0.000658847,0.001267282,-0.225479317,0.001829653,-0.228161263,0.065600999,0.053912858,0.060375225,1.994436691,0.327515101,1.956668325,0.276322007,0.226382232,0.224901057,1.559698234,8.144221741,1.555849257,-0.291887999,-0.280192557,-0.243639097,-0.493284662,0.002234118,-0.489333913,0.000017000,0.000006432,0.000582967,-0.000444346,-0.000800026,-0.000589348
0.013998738,-0.000202000,-0.000146336,-0.001699243,0.005135314,0.001001062,0.003675837,0.000089000,-0.000662349,-0.001667924,0.247571745,-0.003340860,0.251293858,-0.006769000,-0.010012154,-0.004346546,1.046059767,-0.057614943,1.020164767,0.424766988,0.352922876,0.349111779,2.058685568,-1.889411876,2.056546934,-0.396703988,-0.383216917,-0.313890865,-0.469356073,0.034985871,-0.470679189,0.000000000,0.000008809,-0.000274321,-0.000183860,-0.002454791,-0.000110362,-0.000125000,-0.000008078,-0.000041940,-0.010856426,-3.031912306,-0.012225743,-0.000055000,0.000661294,0.001223615,-0.228161263,0.002219816,-0.231280023,0.065641999,0.054034739,0.060940770,1.956668325,0.282772327,1.920886296,0.276271999,0.226824477,0.221122234,1.555849257,8.312558770,1.551615991,-0.291877002,-0.280646585,-0.227013979,-0.489333913,0.002447973,-0.489601368,0.000018000,0.000007686,0.000652939,-0.000589348,-0.000816002,-0.000813920
0.015998558,-0.000228000,-0.000146702,-0.001939021,0.003675837,0.004216929,0.002299400,0.000097000,-0.000665595,-0.001659490,0.251293858,-0.006807698,0.254299908,-0.006755000,-0.010018148,-0.002997086,1.020164767,-0.090742111,0.995324564,0.424748003,0.353609137,0.343130495,2.056546934,-1.806108155,2.054515095,-0.396777004,-0.383804327,-0.293704892,-0.470679189,0.021882118,-0.476080669,0.000000000,0.000008244,-0.000287936,-0.000110362,-0.002820434,-0.000014592,-0.000145000,-0.000008253,-0.000223424,-0.012225743,-2.990641911,-0.013312695,-0.000067000,0.000663642,0.001174160,-0.231280023,0.002586864,-0.234239786,0.065686002,0.054157556,0.061408185,1.920886296,0.233707534,1.887911597,0.276219994,0.227259497,0.217510017,1.551615991,8.285183951,1.546528684,-0.291866988,-0.281067472,-0.210443611,-0.489601368,0.002644309,-0.493161934,0.000019000,0.000009040,0.000696703,-0.000813920,-0.000718041,-0.000974130
0.017998378,-0.000252000,-0.000147266,-0.002183866,0.002299400,0.006549858,0.001185935,0.000104000,-0.000668824,-0.001646390,0.254299908,-0.004089387,0.256910949,-0.006740000,-0.010021578,-0.001714935,0.995324564,-0.119819144,0.971562171,0.424728990,0.354283720,0.337291887,2.054515095,-1.716346309,2.052204828,-0.396851003,-0.384352330,-0.274001588,-0.476080669,0.014036700,-0.484191948,0.000000000,0.000007665,-0.000296115,-0.000014592,-0.003173886,0.000067156,-0.000164000,-0.000008663,-0.000463062,-0.013312695,-2.919304251,-0.013939037,-0.000080000,0.000665881,0.001119248,-0.234239786,0.002926294,-0.237329141,0.065732002,0.054281120,0.061782032,1.887911597,0.186923503,1.857408345,0.276167989,0.227687651,0.214077325,1.546528684,8.113833469,1.540598976,-0.291855991,-0.281455904,-0.194215944,-0.493161934,0.002842392,-0.498928904,0.000020000,0.000010460,0.000724777,-0.000974130,-0.000649905,-0.001096355
