time,leg_l1_joint,leg_l2_joint,leg_l3_joint,leg_l4_joint,leg_l5_joint,leg_l6_joint,leg_r1_joint,leg_r2_joint,leg_r3_joint,leg_r4_joint,leg_r5_joint,leg_r6_joint
0,-0.020223625,0.21862665,1.139812283,2.167550213,-0.670849765,-0.000709786,-0.020223625,0.21862665,1.139812283,2.167550213,-0.670849765,-0.000709786
0.00199982,-0.021353713,0.224909734,1.148520045,2.119749489,-0.593512979,-0.000869058,-0.021353713,0.224909734,1.148520045,2.119749489,-0.593512979,-0.000869058
0.003999639,-0.020812012,0.229948314,1.138417786,2.09276014,-0.541279897,-0.000672036,-0.020812012,0.229948314,1.138417786,2.09276014,-0.541279897,-0.000672036
0.005999459,0.011482085,0.235316455,1.119446687,2.076952622,-0.506636285,-0.000499908,0.011482085,0.235316455,1.119446687,2.076952622,-0.506636285,-0.000499908
0.007999279,0.00906139,0.239265056,1.096917482,2.067270642,-0.485091875,-0.000188338,0.00906139,0.239265056,1.096917482,2.067270642,-0.485091875,-0.000188338
0.009999099,0.006984105,0.243710089,1.072022234,2.061839348,-0.473506839,-0.00020059,0.006984105,0.243710089,1.072022234,2.061839348,-0.473506839,-0.00020059
0.011998918,0.005135314,0.247571745,1.046059767,2.058685568,-0.469356073,-0.00018386,0.005135314,0.247571745,1.046059767,2.058685568,-0.469356073,-0.00018386
0.013998738,0.003675837,0.251293858,1.020164767,2.056546934,-0.470679189,-0.000110362,0.003675837,0.251293858,1.020164767,2.056546934,-0.470679189,-0.000110362
0.015998558,0.0022994,0.254299908,0.995324564,2.054515095,-0.476080669,-1.4592e-05,0.0022994,0.254299908,0.995324564,2.054515095,-0.476080669,-1.4592e-05
0.017998378,0.001185935,0.256910949,0.971562171,2.052204828,-0.484191948,6.7156e-05,0.001185935,0.256910949,0.971562171,2.052204828,-0.484191948,6.7156e-05
0.019998197,8.8971e-05,0.259422265,0.949010558,2.049328389,-0.494276981,0.000133638,8.8971e-05,0.259422265,0.949010558,2.049328389,-0.494276981,0.000133638
0.021998017,-0.000771506,0.261273777,0.927661183,2.04587325,-0.505670585,0.000190964,-0.000771506,0.261273777,0.927661183,2.04587325,-0.505670585,0.000190964
0.023997837,-0.001512116,0.26304357,0.907157099,2.041846981,-0.517866519,0.000235954,-0.001512116,0.26304357,0.907157099,2.041846981,-0.517866519,0.000235954
0.025997657,-0.002132741,0.264166967,0.887996427,2.037218716,-0.530360454,0.000275806,-0.002132741,0.264166967,0.887996427,2.037218716,-0.530360454,0.000275806
0.027997476,-0.002517037,0.265224102,0.869133047,2.032202437,-0.542999272,0.000303989,-0.002517037,0.265224102,0.869133047,2.032202437,-0.542999272,0.000303989
0.029997296,-0.002788529,0.265936967,0.85111016,2.026823641,-0.555430598,0.000328189,-0.002788529,0.265936967,0.85111016,2.026823641,-0.555430598,0.000328189
0.031997116,-0.002944225,0.266309281,0.833785473,2.021150251,-0.567623046,0.000345029,-0.002944225,0.266309281,0.833785473,2.021150251,-0.567623046,0.000345029
0.033996936,-0.00287644,0.266349757,0.816766907,2.015346948,-0.579442083,0.000354091,-0.00287644,0.266349757,0.816766907,2.015346948,-0.579442083,0.000354091
0.035996755,-0.002601579,0.265779265,0.80058114,2.009405776,-0.591188854,0.000356296,-0.002601579,0.265779265,0.80058114,2.009405776,-0.591188854,0.000356296
0.037996575,-0.002345142,0.264890553,0.785709497,2.003398082,-0.602796648,0.000347291,-0.002345142,0.264890553,0.785709497,2.003398082,-0.602796648,0.000347291
