time,leg_l1_joint,leg_l2_joint,leg_l3_joint,leg_l4_joint,leg_l5_joint,leg_l6_joint,leg_r1_joint,leg_r2_joint,leg_r3_joint,leg_r4_joint,leg_r5_joint,leg_r6_joint
0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.00200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.00400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.00600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000
0.00800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000
0.01000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000000,0.000000,0.000000,0.000000
0.01200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000000,0.000000,0.000000,0.000000
0.01400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000012,0.000000,0.000000,0.000000,0.000000
0.01600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000018,0.000000,0.000000,0.000000,0.000000
0.01800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000025,0.000000,0.000000,0.000000,0.000000
0.02000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000034,0.000000,0.000000,0.000000,0.000000
0.02200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000045,0.000000,0.000000,0.000000,0.000000
0.02400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000058,0.000000,0.000000,0.000000,0.000000
0.02600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000074,0.000000,0.000000,0.000000,0.000000
0.02800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000092,0.000000,0.000000,0.000000,0.000000
0.03000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000113,0.000000,0.000000,0.000000,0.000000
0.03200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000137,0.000000,0.000000,0.000000,0.000000
0.03400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000164,0.000000,0.000000,0.000000,0.000000
0.03600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000194,0.000000,0.000000,0.000000,0.000000
0.03800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000227,0.000000,0.000000,0.000000,0.000000
0.04000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000264,0.000000,0.000000,0.000000,0.000000
0.04200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000305,0.000000,0.000000,0.000000,0.000000
0.04400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000349,0.000000,0.000000,0.000000,0.000000
0.04600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000398,0.000000,0.000000,0.000000,0.000000
0.04800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000451,0.000000,0.000000,0.000000,0.000000
0.05000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000508,0.000000,0.000000,0.000000,0.000000
0.05200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000570,0.000000,0.000000,0.000000,0.000000
0.05400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000636,0.000000,0.000000,0.000000,0.000000
0.05600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000707,0.000000,0.000000,0.000000,0.000000
0.05800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000783,0.000000,0.000000,0.000000,0.000000
0.06000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000864,0.000000,0.000000,0.000000,0.000000
0.06200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000950,0.000000,0.000000,0.000000,0.000000
0.06400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001042,0.000000,0.000000,0.000000,0.000000
0.06600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001139,0.000000,0.000000,0.000000,0.000000
0.06800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001242,0.000000,0.000000,0.000000,0.000000
0.07000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001351,0.000000,0.000000,0.000000,0.000000
0.07200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001465,0.000000,0.000000,0.000000,0.000000
0.07400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001586,0.000000,0.000000,0.000000,0.000000
0.07600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001712,0.000000,0.000000,0.000000,0.000000
0.07800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001845,0.000000,0.000000,0.000000,0.000000
0.08000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001984,0.000000,0.000000,0.000000,0.000000
0.08200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002130,0.000000,0.000000,0.000000,0.000000
0.08400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002283,0.000000,0.000000,0.000000,0.000000
