time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.0015,0,0,0,0,0,0,0,0,0,0,0
0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
0.015,0.0045,0,0,0,0,0,0,0,0,0,0,0
0.02,0.006,0,0,0,0,0,0,0,0,0,0,0
0.025,0.0075,0,0,0,0,0,0,0,0,0,0,0
0.03,0.009,0,0,0,0,0,0,0,0,0,0,0
0.035,0.0105,0,0,0,0,0,0,0,0,0,0,0
0.04,0.012,0,0,0,0,0,0,0,0,0,0,0
0.045,0.0135,0,0,0,0,0,0,0,0,0,0,0
0.05,0.015,0,0,0,0,0,0,0,0,0,0,0
0.055,0.0165,0,0,0,0,0,0,0,0,0,0,0
0.06,0.018,0,0,0,0,0,0,0,0,0,0,0
0.065,0.0195,0,0,0,0,0,0,0,0,0,0,0
0.07,0.021,0,0,0,0,0,0,0,0,0,0,0
0.075,0.0225,0,0,0,0,0,0,0,0,0,0,0
0.08,0.024,0,0,0,0,0,0,0,0,0,0,0
0.085,0.0255,0,0,0,0,0,0,0,0,0,0,0
0.09,0.027,0,0,0,0,0,0,0,0,0,0,0
0.095,0.0285,0,0,0,0,0,0,0,0,0,0,0
0.1,0.03,0,0,0,0,0,0,0,0,0,0,0
0.105,0.0315,0,0,0,0,0,0,0,0,0,0,0
0.11,0.033,0,0,0,0,0,0,0,0,0,0,0
0.115,0.0345,0,0,0,0,0,0,0,0,0,0,0
0.12,0.036,0,0,0,0,0,0,0,0,0,0,0
0.125,0.0375,0,0,0,0,0,0,0,0,0,0,0
0.13,0.039,0,0,0,0,0,0,0,0,0,0,0
0.135,0.0405,0,0,0,0,0,0,0,0,0,0,0
0.14,0.042,0,0,0,0,0,0,0,0,0,0,0
0.145,0.0435,0,0,0,0,0,0,0,0,0,0,0
0.15,0.045,0,0,0,0,0,0,0,0,0,0,0
0.155,0.0465,0,0,0,0,0,0,0,0,0,0,0
0.16,0.048,0,0,0,0,0,0,0,0,0,0,0
0.165,0.0495,0,0,0,0,0,0,0,0,0,0,0
0.17,0.051,0,0,0,0,0,0,0,0,0,0,0
0.175,0.0525,0,0,0,0,0,0,0,0,0,0,0
0.18,0.054,0,0,0,0,0,0,0,0,0,0,0
0.185,0.0555,0,0,0,0,0,0,0,0,0,0,0
0.19,0.057,0,0,0,0,0,0,0,0,0,0,0
0.195,0.0585,0,0,0,0,0,0,0,0,0,0,0
0.2,0.06,0,0,0,0,0,0,0,0,0,0,0
0.205,0.0615,0,0,0,0,0,0,0,0,0,0,0
0.21,0.063,0,0,0,0,0,0,0,0,0,0,0
0.215,0.0645,0,0,0,0,0,0,0,0,0,0,0
0.22,0.066,0,0,0,0,0,0,0,0,0,0,0
0.225,0.0675,0,0,0,0,0,0,0,0,0,0,0
0.23,0.069,0,0,0,0,0,0,0,0,0,0,0
